#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000002	2021-03-19	2021.212652	2020.906063	2021.636103
95.1/96	2021-12-01	2021.915416	2021.760873	2022.060427
EPI2310052|A/american_crow/Massachusetts/22-006976-004-original/2022|H5N1|HA|2.3.4.4b||wild-bird|Massachusetts|2022-02-27	2022-02-27	2022.157534	2022.157534	2022.157534
EPI2709618|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|HA|2.3.4.4b||wild-bird|Connecticut|2022-02-16	2022-02-16	2022.127397	2022.127397	2022.127397
NODE_0000004	2022-01-05	2022.013213	2021.877295	2022.128142
EPI2703935|A/Sanderling/Massachusetts/USDA-007696-003/2022|H5N1|HA|2.3.4.4b||wild-bird|Massachusetts|2022-03-02	2022-03-02	2022.165753	2022.165753	2022.165753
NODE_0000003	2022-02-17	2022.131223	2021.985232	2022.168493
EPI2311399|A/sanderling/MA/22HP00192/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|MA|2022-03-03	2022-03-03	2022.168493	2022.168493	2022.168493
EPI2310154|A/american_crow/Massachusetts/22-016611-007-original/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-21	2022-03-21	2022.217808	2022.217808	2022.217808
94.6/63	2022-02-12	2022.117497	2021.986989	2022.176712
EPI2704522|A/Sanderling/Massachusetts/USDA-007696-008/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-06	2022-03-06	2022.176712	2022.176712	2022.176712
EPI2311535|A/american_crow/MA/22HP00160/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|MA|2022-03-22	2022-03-22	2022.220548	2022.220548	2022.220548
88.2/88	2022-04-27	2022.320264	2022.183191	2022.429079
EPI2310250|A/herring_gull/Maine/22-022526-016-original/2022|H5N1|HA|2.3.4.4b||wild-bird|Maine|2022-07-08	2022-07-08	2022.516438	2022.516438	2022.516438
EPI2311439|A/common_eider/MA/22MM00772/2022|H5N1|HA|2.3.4.4b||wild-bird|MA|2022-06-19	2022-06-19	2022.464384	2022.464384	2022.464384
NODE_0000001	2021-04-24	2021.310023	2021.057940	2021.632775
77/86	2021-08-07	2021.598360	2021.318583	2021.958594
EPI2311575|A/northern_gannet/MA/22WI00050/2022|H5N1|HA|2.3.4.4b||wild-bird|MA|2022-05-10	2022-05-10	2022.354795	2022.354795	2022.354795
99.3/100	2022-04-25	2022.312739	2022.117735	2022.450685
EPI2310290|A/common_tern/Maine/22-025070-002-original/2022|H5N1|HA|2.3.4.4b||wild-bird|Maine|2022-07-20	2022-07-20	2022.549315	2022.549315	2022.549315
EPI2311463|A/common_tern/ME/COTE_20220614_1/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|ME|2022-06-14	2022-06-14	2022.450685	2022.450685	2022.450685
84.7/34	2021-07-30	2021.576147	2021.467838	2021.830118
EPI2709250|A/American_Wigeon/North_Carolina/USDA-001672-005/2022|H5N1|HA|2.3.4.4b||wild-bird|North_Carolina|2022-01-08	2022-01-08	2022.020548	2022.020548	2022.020548
EPI2702961|A/Snow_Goose/Missouri/USDA-006805-001/2022|H5N1|HA|2.3.4.4b|A1|wild-bird|Missouri|2022-02-23	2022-02-23	2022.146575	2022.146575	2022.146575
EPI2067107|A/turkey/North_Carolina/22-009983-008-original/2022|H5N1|HA|2.3.4.4b||poultry|North_Carolina|2022-03-31	2022-03-31	2022.245205	2022.245205	2022.245205
EPI2713082|A/Gadwall/Virginia/USDA-003923-001/2022|H5N1|HA|2.3.4.4b||wild-bird|Virginia|2022-01-29	2022-01-29	2022.078082	2022.078082	2022.078082
EPI2712590|A/Green-winged_Teal/North_Carolina/USDA-004007-005/2022|H5N1|HA|2.3.4.4b|A1|wild-bird|North_Carolina|2022-01-31	2022-01-31	2022.083562	2022.083562	2022.083562
76/55	2021-10-20	2021.801345	2021.626974	2022.028148
EPI2703197|A/Snowy_Owl/New_York/USDA-008969-001/2022|H5N1|HA|2.3.4.4b||wild-bird|New_York|2022-03-22	2022-03-22	2022.220548	2022.220548	2022.220548
EPI2704854|A/chicken/Delaware/USDA-006945-004/2022|H5N1|HA|2.3.4.4b|A1|poultry|Delaware|2022-03-07	2022-03-07	2022.179452	2022.179452	2022.179452
82.8/35	2021-10-20	2021.800619	2021.646757	2021.965029
EPI2246616|A/chicken/Wisconsin/22-013373-002-original/2022|H5N1|HA|2.3.4.4b||poultry|Wisconsin|2022-04-30	2022-04-30	2022.327397	2022.327397	2022.327397
EPI2712612|A/goose/New_Hampshire/USDA-006203-002/2022|H5N1|HA|2.3.4.4b|A1|poultry|New_Hampshire|2022-02-22	2022-02-22	2022.143836	2022.143836	2022.143836
EPI2713099|A/Gadwall/South_Carolina/USDA-001743-008/2022|H5N1|HA|2.3.4.4b||wild-bird|South_Carolina|2022-01-06	2022-01-06	2022.015068	2022.015068	2022.015068
86/44	2021-11-05	2021.846375	2021.682000	2021.996495
EPI2712250|A/Blue-winged_Teal/Florida/USDA-002578-009/2022|H5N1|HA|2.3.4.4b||wild-bird|Florida|2022-01-22	2022-01-22	2022.058904	2022.058904	2022.058904
EPI2473455|A/fox/Wisconsin/22-014746-015-original/2022|H5N1|HA|2.3.4.4b||mammal|Wisconsin|2022-05-03	2022-05-03	2022.335616	2022.335616	2022.335616
EPI2708346|A/Bald_Eagle/Florida/USDA-007915-002/2022|H5N1|HA|2.3.4.4b||wild-bird|Florida|2022-02-28	2022-02-28	2022.160274	2022.160274	2022.160274
EPI2074532|A/turkey/Minnesota/22-010123-004-original/2022|H5N1|HA|2.3.4.4b|A1|poultry|Minnesota|2022-04-04	2022-04-04	2022.256164	2022.256164	2022.256164
EPI2708444|A/Black_Vulture/Florida/USDA-011545-001/2022|H5N1|HA|2.3.4.4b||wild-bird|Florida|2022-04-08	2022-04-08	2022.267123	2022.267123	2022.267123
93.8/87	2021-12-17	2021.960248	2021.765792	2022.139395
EPI2703420|A/Snow_Goose/South_Dakota/USDA-009478-020/2022|H5N1|HA|2.3.4.4b|A1|wild-bird|South_Dakota|2022-03-18	2022-03-18	2022.209589	2022.209589	2022.209589
EPI2013941|A/turkey/Missouri/22-006944-002-original/2022|H5N1|HA|2.3.4.4b|A1|poultry|Missouri|2022-03-07	2022-03-07	2022.179452	2022.179452	2022.179452
98.3/100	2022-06-20	2022.468236	2022.294648	2022.600850
EPI2506876|A/blue-winged_teal/Minnesota/AV22-690/2022|H5N1|HA|2.3.4.4b||wild-bird|Minnesota|2022-09-01	2022-09-01	2022.667123	2022.667123	2022.667123
77.7/77	2022-10-17	2022.794437	2022.604643	2022.834247
EPI2260662|A/chicken/South_Dakota/22-037701-001-original/2022|H5N1|HA|2.3.4.4b||poultry|South_Dakota|2022-11-19	2022-11-19	2022.883562	2022.883562	2022.883562
