#name, A, B, C, D, E, F
NODE_0000000, 1.453529484206549e-05, 2.3472559248172984e-06, 3.2801310509519223e-07, 4.580426710172634e-05, 0.2249968278914618, 0.7749401572775644
EPI2259039|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|HA|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2705134|A/Wood_Duck/Minnesota/USDA-012022-002/2022|H5N1|HA|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-14, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/6, 5.454436564061728e-06, 8.045333080317757e-07, 1.1246949007086066e-07, 2.9774971951514982e-05, 0.12067744555729452, 0.8792864080313918
0/17, 1.786518715202561e-05, 2.927147281368362e-06, 4.087230285097218e-07, 6.107205993130834e-05, 0.17261644312377217, 0.8273012837588346
EPI2712849|A/Great_Horned_Owl/Minnesota/USDA-011871-006/2022|H5N1|HA|2.3.4.4b||wild-bird|Minnesota|2022-04-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2067434|A/turkey/Minnesota/22-010092-002-original/2022|H5N1|HA|2.3.4.4b||poultry|Minnesota|2022-04-03, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/2, 2.893757422254162e-06, 4.3143946831304017e-07, 7.492661837283809e-08, 2.810438274719194e-05, 0.022139385649264147, 0.9778291098444797
0/3, 1.6321185759590028e-06, 2.3714791540076182e-07, 4.907805999190421e-08, 2.4621401452050358e-05, 0.004334761149433031, 0.9956386991045636
EPI2702814|A/Snow_Goose/North_Dakota/USDA-011578-008/2022|H5N1|HA|2.3.4.4b||wild-bird|North_Dakota|2022-04-10, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2702305|A/Snow_Goose/North_Dakota/USDA-009481-010/2022|H5N1|HA|2.3.4.4b||wild-bird|North_Dakota|2022-03-23, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/1, 1.9871359750826532e-06, 2.871013652266295e-07, 5.537122197706335e-08, 2.6690246669821572e-05, 0.01106522151226242, 0.9889057586325054
0/4, 2.979973105917667e-06, 4.369897782050675e-07, 7.528670979856341e-08, 2.8461161221596793e-05, 0.02292811648615183, 0.9770399301030327
0/4, 1.1218724194207364e-05, 1.7744317642220869e-06, 2.585367755497966e-07, 4.062643821069615e-05, 0.11879729883558024, 0.881148823033475
EPI2702950|A/Snow_Goose/Missouri/USDA-011404-001/2022|H5N1|HA|2.3.4.4b||wild-bird|Missouri|2022-03-08, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
92.7/62, 1.300372979697537e-05, 2.2673540976383794e-06, 2.203432293755896e-07, 9.75158459725766e-06, 0.8924701399968668, 0.107504616991412
EPI2179716|A/turkey/Minnesota/22-010995-001-original/2022|H5N1|HA|2.3.4.4b||poultry|Minnesota|2022-04-09, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
