#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2021-02-25	2021.152202	2020.650727	2021.888347
NODE_0000000	2021-04-14	2021.283856	2021.021354	2021.877397
EPI2712507|A/Gadwall/North_Carolina/USDA-001672-002/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Carolina|2022-01-08	2022-01-08	2022.020548	2022.020548	2022.020548
EPI2705957|A/chicken/Nebraska/USDA-010905-001/2022|H5N1|MP|2.3.4.4b|B2.1|poultry|Nebraska|2022-04-11	2022-04-11	2022.275342	2022.275342	2022.275342
EPI2473446|A/fox/Wisconsin/22-014746-015-original/2022|H5N1|MP|2.3.4.4b||mammal|Wisconsin|2022-05-03	2022-05-03	2022.335616	2022.335616	2022.335616
EPI2074527|A/turkey/Minnesota/22-010123-004-original/2022|H5N1|MP|2.3.4.4b|A1|poultry|Minnesota|2022-04-04	2022-04-04	2022.256164	2022.256164	2022.256164
EPI2709327|A/American_Wigeon/North_Carolina/USDA-001330-031/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Carolina|2022-01-08	2022-01-08	2022.020548	2022.020548	2022.020548
EPI2067429|A/turkey/Minnesota/22-010092-002-original/2022|H5N1|MP|2.3.4.4b||poultry|Minnesota|2022-04-03	2022-04-03	2022.253425	2022.253425	2022.253425
EPI2188325|A/bald_eagle/North_Carolina/W22-140/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Carolina|2022-02-22	2022-02-22	2022.143836	2022.143836	2022.143836
79.4/78	2021-11-20	2021.886757	2021.493016	2022.241183
EPI2711122|A/Lesser_Scaup/Florida/USDA-010679-001/2022|H5N1|MP|2.3.4.4b|B1.2|wild-bird|Florida|2022-04-04	2022-04-04	2022.256164	2022.256164	2022.256164
79.2/81	2022-07-05	2022.508219	2022.109313	2022.508219
EPI2298224|A/Canada_goose/California/246038/2022|H5N1|MP|2.3.4.4b|B4.1|wild-bird|California|2022-07-05	2022-07-05	2022.508219	2022.508219	2022.508219
EPI2263389|A/chicken/Oregon/22-030743-001-original/2022|H5N1|MP|2.3.4.4b|B4.1|poultry|Oregon|2022-09-28	2022-09-28	2022.741096	2022.741096	2022.741096
85.3/48	2021-08-11	2021.609050	2021.335741	2022.071407
EPI2710021|A/Backyard_bird/Maine/USDA-008540-001/2022|H5N1|MP|2.3.4.4b||wild-bird|Maine|2022-03-22	2022-03-22	2022.220548	2022.220548	2022.220548
NODE_0000007	2022-04-04	2022.256164	2021.825339	2022.256164
EPI2259114|A/fox/New_York/22-015064-001-original/2022|H5N1|MP|2.3.4.4b||mammal|New_York|2022-04-27	2022-04-27	2022.319178	2022.319178	2022.319178
EPI2131380|A/Vulpes_vulpes/New_York/099488/2022|H5N1|MP|2.3.4.4b||mammal|New_York|2022-04-04	2022-04-04	2022.256164	2022.256164	2022.256164
91.3/49	2021-11-14	2021.869897	2021.494849	2022.179452
EPI2703341|A/Snowy_Owl/Michigan/USDA-008506-001/2022|H5N1|MP|2.3.4.4b||wild-bird|Michigan|2022-03-17	2022-03-17	2022.206849	2022.206849	2022.206849
NODE_0000009	2022-02-17	2022.129165	2021.829689	2022.179452
EPI2707687|A/Bald_Eagle/Ohio/USDA-007697-001/2022|H5N1|MP|2.3.4.4b||wild-bird|Ohio|2022-03-07	2022-03-07	2022.179452	2022.179452	2022.179452
NODE_0000010	2022-04-08	2022.267123	2022.046774	2022.267123
