#name, A, B, C, D, E, F
NODE_0000000, 1.4555890750082866e-05, 3.3227097342931995e-06, 5.518508135883308e-07, 6.734653699651312e-05, 0.8572351298738591, 0.1426790931378466
EPI2259034|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|MP|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2614065|A/snowy_egret/California/23-009161-004-original/2023|H5N1|MP|2.3.4.4b|B4.1|wild-bird|California|2023-03-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
0/4, 4.9404079272548585e-06, 1.0914914134913686e-06, 1.6318984829038124e-07, 2.249898584274647e-05, 0.8533038722140168, 0.14666743371095123
0/1, 2.5275162368669445e-06, 8.438233803050821e-07, 9.027354423437908e-08, 7.155964623978635e-06, 0.9774003512160071, 0.022589031206207453
EPI2711871|A/goose/Wyoming/USDA-011671-001/2022|H5N1|MP|2.3.4.4b|B2.1|poultry|Wyoming|2022-04-13, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
EPI2704867|A/chicken/Delaware/USDA-006945-004/2022|H5N1|MP|2.3.4.4b|A1|poultry|Delaware|2022-03-07, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
0/1, 6.351721126897203e-06, 1.0893250670220977e-06, 2.158172689583714e-07, 3.8440210665088006e-05, 0.5827276134634727, 0.41722628946239937
0/5, 9.009494334955868e-06, 1.5432825164211037e-06, 3.193385942598647e-07, 5.054852584639523e-05, 0.5664483559365129, 0.43349022342219506
EPI2712507|A/Gadwall/North_Carolina/USDA-001672-002/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Carolina|2022-01-08, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2074535|A/turkey/Minnesota/22-010124-001-original/2022|H5N1|MP|2.3.4.4b||poultry|Minnesota|2022-04-04, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/1, 5.564630723511942e-06, 7.52831542835642e-07, 1.9168543681992152e-07, 4.522413758727448e-05, 0.28994957339526967, 0.7099986933194399
0/2, 4.238909328382544e-06, 5.370790398081981e-07, 1.3856135861714804e-07, 6.320962184626653e-05, 0.2397551345516526, 0.7601767412767745
0/5, 1.2950366327134503e-05, 1.8449595679705199e-06, 4.744838583339366e-07, 9.462702616714195e-05, 0.24434465255696383, 0.7555454506071155
EPI2708456|A/Black_Vulture/Florida/USDA-011545-001/2022|H5N1|MP|2.3.4.4b||wild-bird|Florida|2022-04-08, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2705957|A/chicken/Nebraska/USDA-010905-001/2022|H5N1|MP|2.3.4.4b|B2.1|poultry|Nebraska|2022-04-11, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
0/1, 8.014627929214666e-06, 1.0382777827086345e-06, 2.927897326412702e-07, 0.0006848487503062815, 0.2190330668289992, 0.7802727387252499
EPI2710878|A/Mallard/New_Hampshire/USDA-003417-032/2022|H5N1|MP|2.3.4.4b||wild-bird|New_Hampshire|2022-01-26, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/7, 8.724560961941771e-05, 2.516429772879046e-05, 7.665514290032443e-06, 0.017382584152093022, 0.48753660456647446, 0.49496073585979433
EPI2473446|A/fox/Wisconsin/22-014746-015-original/2022|H5N1|MP|2.3.4.4b||mammal|Wisconsin|2022-05-03, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
EPI2067310|A/turkey/Minnesota/22-009997-001-original/2022|H5N1|MP|2.3.4.4b|A1|poultry|Minnesota|2022-04-02, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/8, 4.257171664937453e-06, 4.981536742367e-07, 1.4601076015306142e-07, 4.057217243858575e-05, 0.14806559460799543, 0.8518889318834665
0/8, 4.782585356131747e-06, 5.7374465011072e-07, 1.6305584402079349e-07, 4.3083865965285394e-05, 0.18683101368860291, 0.8131203830595815
0/2, 3.7827318034893047e-06, 3.874160025987763e-07, 1.2554326215626273e-07, 4.022093454021611e-05, 0.09768414623553968, 0.902271337138852
0/5, 1.2123446812859588e-05, 1.4826315828214786e-06, 4.44122546580631e-07, 9.642523718848845e-05, 0.14430139565036693, 0.8555881289115024
EPI2710084|A/Backyard_bird/Massachusetts/USDA-009371-001/2022|H5N1|MP|2.3.4.4b|A1|wild-bird|Massachusetts|2022-03-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2074527|A/turkey/Minnesota/22-010123-004-original/2022|H5N1|MP|2.3.4.4b|A1|poultry|Minnesota|2022-04-04, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/3, 2.4255079979143293e-06, 1.796970989396761e-07, 8.495711951814609e-08, 3.275499176844333e-05, 0.01932585392413919, 0.980638700921876
EPI2711143|A/Hooded_Merganser/Florida/USDA-007915-003/2022|H5N1|MP|2.3.4.4b||wild-bird|Florida|2022-03-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/7, 1.9298860004224797e-06, 1.1346533572934699e-07, 6.870323314237776e-08, 3.0428402839225235e-05, 0.006732121790232442, 0.9932353377523591
EPI2712859|A/Great_Horned_Owl/Minnesota/USDA-011871-006/2022|H5N1|MP|2.3.4.4b||wild-bird|Minnesota|2022-04-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2709136|A/American_Crow/North_Dakota/USDA-013140-003/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Dakota|2022-04-21, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/2, 8.182702218334724e-06, 1.1735921698629713e-06, 2.874988664525907e-07, 5.5958844181525683e-05, 0.4174693101481978, 0.582465087214366
EPI2712821|A/goose/Missouri/USDA-012338-014/2022|H5N1|MP|2.3.4.4b|B2.1|poultry|Missouri|2022-03-01, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
0/1, 5.016052039152159e-06, 6.927936047293667e-07, 1.6734823187511285e-07, 4.061963215763051e-05, 0.2947652168985412, 0.7051882872754254
0/2, 9.10956522473635e-06, 1.2731381376905105e-06, 3.242937819046724e-07, 6.194988538303742e-05, 0.3554583771971409, 0.6444689659203316
EPI2179271|A/turkey/Minnesota/22-010654-001-original/2022|H5N1|MP|2.3.4.4b||poultry|Minnesota|2022-04-04, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2705230|A/Ross_s_Goose/North_Dakota/USDA-010036-002/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Dakota|2022-03-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/6, 4.63570891936358e-06, 5.240758239536223e-07, 1.5627346209663634e-07, 4.3678930945351844e-05, 0.13258413289762447, 0.8673668721132247
EPI2709327|A/American_Wigeon/North_Carolina/USDA-001330-031/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Carolina|2022-01-08, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
