#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000002	2020-10-02	2020.752605	2020.279510	2021.605647
96.9/99	2021-10-20	2021.802025	2021.440007	2022.120876
NODE_0000003	2022-02-16	2022.127397	2021.842488	2022.127397
EPI2310153|A/american_crow/Massachusetts/22-016611-007-original/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-21	2022-03-21	2022.217808	2022.217808	2022.217808
EPI2709606|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|NA|2.3.4.4b||wild-bird|Connecticut|2022-02-16	2022-02-16	2022.127397	2022.127397	2022.127397
84.5/63	2022-01-10	2022.025453	2021.802875	2022.157534
EPI2310054|A/american_crow/Massachusetts/22-006976-004-original/2022|H5N1|NA|2.3.4.4b||wild-bird|Massachusetts|2022-02-27	2022-02-27	2022.157534	2022.157534	2022.157534
84.6/62	2022-03-02	2022.165753	2022.062930	2022.165753
EPI2311438|A/common_eider/MA/22MM00772/2022|H5N1|NA|2.3.4.4b||wild-bird|MA|2022-06-19	2022-06-19	2022.464384	2022.464384	2022.464384
EPI2311534|A/american_crow/MA/22HP00160/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|MA|2022-03-22	2022-03-22	2022.220548	2022.220548	2022.220548
EPI2310249|A/herring_gull/Maine/22-022526-016-original/2022|H5N1|NA|2.3.4.4b||wild-bird|Maine|2022-07-08	2022-07-08	2022.516438	2022.516438	2022.516438
EPI2704510|A/Sanderling/Massachusetts/USDA-007696-008/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-06	2022-03-06	2022.176712	2022.176712	2022.176712
EPI2703927|A/Sanderling/Massachusetts/USDA-007696-003/2022|H5N1|NA|2.3.4.4b||wild-bird|Massachusetts|2022-03-02	2022-03-02	2022.165753	2022.165753	2022.165753
EPI2311398|A/sanderling/MA/22HP00192/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|MA|2022-03-03	2022-03-03	2022.168493	2022.168493	2022.168493
NODE_0000001	2020-11-25	2020.901072	2020.526386	2021.596092
77.2/77	2021-06-22	2021.472986	2020.995654	2022.023685
EPI2311574|A/northern_gannet/MA/22WI00050/2022|H5N1|NA|2.3.4.4b||wild-bird|MA|2022-05-10	2022-05-10	2022.354795	2022.354795	2022.354795
98.1/100	2022-06-14	2022.450685	2022.248512	2022.450685
EPI2310289|A/common_tern/Maine/22-025070-002-original/2022|H5N1|NA|2.3.4.4b||wild-bird|Maine|2022-07-20	2022-07-20	2022.549315	2022.549315	2022.549315
EPI2311462|A/common_tern/ME/COTE_20220614_1/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|ME|2022-06-14	2022-06-14	2022.450685	2022.450685	2022.450685
0/10	2021-03-19	2021.212811	2021.016284	2021.793055
78.5/81	2021-07-06	2021.510749	2021.240314	2022.036748
EPI2473757|A/red_fox/Michigan/22-021733-005-original/2022|H5N1|NA|2.3.4.4b||mammal|Michigan|2022-07-06	2022-07-06	2022.510959	2022.510959	2022.510959
86.7/87	2022-04-04	2022.256164	2022.004705	2022.256164
EPI2131374|A/Vulpes_vulpes/New_York/099488/2022|H5N1|NA|2.3.4.4b||mammal|New_York|2022-04-04	2022-04-04	2022.256164	2022.256164	2022.256164
EPI2259118|A/fox/New_York/22-015064-001-original/2022|H5N1|NA|2.3.4.4b||mammal|New_York|2022-04-27	2022-04-27	2022.319178	2022.319178	2022.319178
77.9/39	2021-06-22	2021.471838	2021.230843	2022.003614
EPI2708981|A/Black_Vulture/Florida/USDA-009054-001/2022|H5N1|NA|2.3.4.4b|B1.1|wild-bird|Florida|2022-03-18	2022-03-18	2022.209589	2022.209589	2022.209589
77/59	2021-10-01	2021.748124	2021.471953	2022.144602
EPI2689428|A/black_vulture/Georgia/CEIRR-569/2022|H5N1|NA|2.3.4.4b||wild-bird|Georgia|2022-08-12	2022-08-12	2022.612329	2022.612329	2022.612329
76.9/75	2022-01-25	2022.067496	2021.730687	2022.381197
EPI2506869|A/black_vulture/South_Carolina/W22-1080A/2022|H5N1|NA|2.3.4.4b|B1.1|wild-bird|South_Carolina|2022-11-02	2022-11-02	2022.836986	2022.836986	2022.836986
EPI2456441|A/black_vulture/South_Carolina/W22-623/2022|H5N1|NA|2.3.4.4b||wild-bird|South_Carolina|2022-08-22	2022-08-22	2022.639726	2022.639726	2022.639726
75.5/58	2021-12-14	2021.953372	2021.650690	2022.268905
EPI2456402|A/black_vulture/South_Carolina/W22-689B/2022|H5N1|NA|2.3.4.4b||wild-bird|South_Carolina|2022-08-25	2022-08-25	2022.647945	2022.647945	2022.647945
90.2/90	2022-04-20	2022.300004	2022.001967	2022.527531
EPI2456418|A/black_vulture/Georgia/W22-619A/2022|H5N1|NA|2.3.4.4b||wild-bird|Georgia|2022-08-22	2022-08-22	2022.639726	2022.639726	2022.639726
EPI2497178|A/vulture/Tennessee/W22-1149/2022|H5N1|NA|2.3.4.4b||wild-bird|Tennessee|2022-12-05	2022-12-05	2022.927397	2022.927397	2022.927397
98.7/100	2022-03-14	2022.199620	2021.905409	2022.538749
EPI2613541|A/brown_pelican/Florida/23-004148-001-original/2023|H5N1|NA|2.3.4.4b||wild-bird|Florida|2023-02-01	2023-02-01	2023.086301	2023.086301	2023.086301
75.7/61	2022-05-24	2022.392778	2022.187136	2022.602432
EPI2606591|A/chicken/Ohio/OH22-26275-3/2022|H5N1|NA|2.3.4.4b||poultry|Ohio|2022-11-03	2022-11-03	2022.839726	2022.839726	2022.839726
EPI2263777|A/African_goose/New_Jersey/22-033679-001-original/2022|H5N1|NA|2.3.4.4b||wild-bird|New_Jersey|2022-10-21	2022-10-21	2022.804110	2022.804110	2022.804110
EPI2263433|A/turkey/Minnesota/22-034849-001-original/2022|H5N1|NA|2.3.4.4b||poultry|Minnesota|2022-10-30	2022-10-30	2022.828767	2022.828767	2022.828767
85.9/68	2022-09-19	2022.716775	2022.500312	2022.828540
EPI2263569|A/chicken/Iowa/22-035700-001-original/2022|H5N1|NA|2.3.4.4b|B1.3|poultry|Iowa|2022-11-03	2022-11-03	2022.839726	2022.839726	2022.839726
EPI2263577|A/domestic_duck/Iowa/22-035700-002-original/2022|H5N1|NA|2.3.4.4b||poultry|Iowa|2022-11-03	2022-11-03	2022.839726	2022.839726	2022.839726
84.7/63	2022-08-07	2022.599515	2022.421017	2022.719805
