#name, A, B, C, D, E, F
NODE_0000000, 4.294293969003751e-06, 1.0436398986714127e-06, 4.185972877825938e-08, 2.8470191195056334e-06, 0.9869079065849494, 0.01308386660233462
EPI2259038|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|NA|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2013940|A/turkey/Missouri/22-006944-002-original/2022|H5N1|NA|2.3.4.4b|A1|poultry|Missouri|2022-03-07, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
85.7/67, 5.734331916380825e-06, 1.5861773741325546e-06, 7.136712052552315e-08, 7.720213114628484e-06, 0.9213263306470285, 0.07865855726344574
0/3, 9.092439425263585e-06, 2.9402875065000474e-06, 1.4389922474646372e-07, 1.5797634384546462e-05, 0.8612724827060435, 0.13869954303341542
EPI2067433|A/turkey/Minnesota/22-010092-002-original/2022|H5N1|NA|2.3.4.4b||poultry|Minnesota|2022-04-03, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
0/1, 1.0263452869562634e-05, 4.558293434157185e-06, 2.8179326313454823e-07, 5.211119188012234e-05, 0.31845711426591455, 0.6814756710026384
EPI2705126|A/Wood_Duck/Minnesota/USDA-012022-002/2022|H5N1|NA|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-14, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/1, 7.881749800865977e-06, 3.6364229757527574e-06, 2.3885675849375954e-07, 5.503305524218689e-05, 0.21117906088954552, 0.7887541490256772
EPI2258870|A/guinea_fowl/Utah/22-014481-002-original/2022|H5N1|NA|2.3.4.4b||wild-bird|Utah|2022-05-09, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/0, 4.277557714779869e-06, 1.8277435446103993e-06, 1.1310478227429837e-07, 2.725285456967328e-05, 0.22405191056455157, 0.7759146181748371
84.4/63, 1.1092348569413572e-05, 4.9860051812571866e-06, 3.100290411121604e-07, 5.338590453428883e-05, 0.35704459119854765, 0.6428856345141262
EPI2703190|A/Snowy_Owl/New_York/USDA-008969-001/2022|H5N1|NA|2.3.4.4b||wild-bird|New_York|2022-03-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2704840|A/chicken/Delaware/USDA-006945-004/2022|H5N1|NA|2.3.4.4b|A1|poultry|Delaware|2022-03-07, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
0/0, 3.670216667561575e-06, 1.683449803127482e-06, 1.0930397016114834e-07, 2.6449414957736148e-05, 0.1482378223040281, 0.8517302653105734
85.9/79, 1.748700527801264e-06, 1.040202774701272e-06, 7.930349185211517e-08, 2.282885505014766e-05, 0.026097650489638195, 0.9738766524485172
EPI2709647|A/Backyard_bird/Michigan/USDA-008890-006/2022|H5N1|NA|2.3.4.4b||wild-bird|Michigan|2022-03-22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
EPI2702396|A/Snow_Goose/North_Dakota/USDA-011035-005/2022|H5N1|NA|2.3.4.4b|B2.1|wild-bird|North_Dakota|2022-04-04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
0/0, 6.733754656896499e-06, 3.0104461543650796e-06, 1.8690101259939294e-07, 3.682330267949014e-05, 0.23747199468841557, 0.762481250907081
NODE_0000010, 2.457055631975306e-06, 1.3512449288014035e-06, 9.726000639695752e-08, 2.6070416133627742e-05, 0.04594023376292474, 0.9540297902603745
EPI2710792|A/Lesser_Snow_Goose_White/Iowa/USDA-007679-003/2022|H5N1|NA|2.3.4.4b||wild-bird|Iowa|2022-03-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000011, 1.1467659240691016e-06, 7.56187982676602e-07, 6.165759555950016e-08, 2.092551659613225e-05, 0.01321264244493498, 0.9867644674269667
EPI2298220|A/eared_grebe/North_Dakota/245625/2022|H5N1|NA|2.3.4.4b||wild-bird|North_Dakota|2022-06-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000012, 9.150837577615994e-07, 6.514456227762663e-07, 5.546920236160235e-08, 1.9950149695347488e-05, 0.0076204409558757805, 0.992357986895846
EPI2713030|A/Great_Horned_Owl/Minnesota/USDA-011871-012/2022|H5N1|NA|2.3.4.4b||wild-bird|Minnesota|2022-04-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000013, 8.75421490707443e-07, 6.33530955373795e-07, 5.441186940820026e-08, 1.9780823785653103e-05, 0.006665636116247142, 0.9933130196956517
EPI2710881|A/Mallard/Kentucky/USDA-005153-004/2022|H5N1|NA|2.3.4.4b||wild-bird|Kentucky|2022-02-07, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000014, 8.688287104838025e-07, 6.30553427276779e-07, 5.4236144270941345e-08, 1.9752605422675832e-05, 0.006506959261483317, 0.993471734514812
EPI2703161|A/Snow_Goose/South_Dakota/USDA-008383-004/2022|H5N1|NA|2.3.4.4b||wild-bird|South_Dakota|2022-03-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000015, 8.687904677658323e-07, 6.305361555810661e-07, 5.4235124949724325e-08, 1.9752441800340147e-05, 0.006506038827183363, 0.9934726551692681
EPI2712330|A/Great_Horned_Owl/Minnesota/USDA-012414-001/2022|H5N1|NA|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-13, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000016, 8.751529493523514e-07, 6.334096640722008e-07, 5.440471104256155e-08, 1.977967919795526e-05, 0.006659171821484605, 0.993319485531993
EPI2702687|A/Snow_Goose/North_Dakota/USDA-009481-006/2022|H5N1|NA|2.3.4.4b||wild-bird|North_Dakota|2022-03-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000017, 9.135074909027531e-07, 6.507331206761407e-07, 5.542712669688701e-08, 1.994358074647644e-05, 0.007582426338837277, 0.9923960104126779
EPI2703315|A/Snowy_Owl/Michigan/USDA-008506-001/2022|H5N1|NA|2.3.4.4b||wild-bird|Michigan|2022-03-17, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000018, 1.1377552595747427e-06, 7.520900287791129e-07, 6.141304954675265e-08, 2.089265612584419e-05, 0.012990140776866888, 0.9869870153086693
EPI2713094|A/Gadwall/South_Carolina/USDA-001743-008/2022|H5N1|NA|2.3.4.4b||wild-bird|South_Carolina|2022-01-06, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000019, 2.420252364227985e-06, 1.3344532639863312e-06, 9.609222655884215e-08, 2.6070477154037574e-05, 0.044638081663447925, 0.9553319970615433
EPI2702616|A/Snow_Goose/North_Dakota/USDA-009399-001/2022|H5N1|NA|2.3.4.4b||wild-bird|North_Dakota|2022-03-29, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000020, 7.701966607233546e-06, 3.646979288774011e-06, 2.3210204059167915e-07, 4.343198143052168e-05, 0.2298505680427829, 0.77009441892785
EPI2179635|A/turkey/Wisconsin/22-010935-002-original/2022|H5N1|NA|2.3.4.4b|B2.1|poultry|Wisconsin|2022-04-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000021, 2.802038556588131e-06, 1.434984840941138e-06, 9.945116287087338e-08, 2.6003901036521607e-05, 0.07462776491508148, 0.9253418947093216
EPI2702938|A/Snow_Goose/Missouri/USDA-011404-001/2022|H5N1|NA|2.3.4.4b||wild-bird|Missouri|2022-03-08, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000022, 2.807361031586734e-06, 1.4374427640213403e-06, 9.960175622916418e-08, 2.6022862146919627e-05, 0.07476993840712999, 0.9251996943251712
EPI2712839|A/Great_Horned_Owl/Minnesota/USDA-011871-006/2022|H5N1|NA|2.3.4.4b||wild-bird|Minnesota|2022-04-15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
NODE_0000023, 7.705474015111484e-06, 3.646264261536923e-06, 2.3197870077293777e-07, 4.3391182550754236e-05, 0.23084909179903693, 0.7690959333014349
EPI2711774|A/goose/South_Dakota/USDA-008382-001/2022|H5N1|NA|2.3.4.4b|B2.1|poultry|South_Dakota|2022-03-16, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
NODE_0000024, 2.4436494153566983e-06, 1.3416689283398086e-06, 9.640174043863301e-08, 2.6086585740169977e-05, 0.04619854548677644, 0.9537714862073993
EPI2702218|A/Snow_Goose/North_Dakota/USDA-009483-001/2022|H5N1|NA|2.3.4.4b||wild-bird|North_Dakota|2022-03-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000025, 1.2120301933787988e-06, 7.822172944958796e-07, 6.307299527100703e-08, 2.1124419348991316e-05, 0.015769693880036496, 0.9842071243801315
EPI2703666|A/Red-tailed_Hawk/Kansas/USDA-008980-002/2022|H5N1|NA|2.3.4.4b||wild-bird|Kansas|2022-03-14, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000026, 1.2686950562800165e-06, 8.078730939784256e-07, 6.45909921224229e-08, 2.135861173627191e-05, 0.01714272962977304, 0.9828337705993484
EPI2709318|A/American_Crow/North_Dakota/USDA-010665-001/2022|H5N1|NA|2.3.4.4b|B3.1|wild-bird|North_Dakota|2022-04-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
