#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	1983-05-18	1983.376044	1969.786647	1995.566925
64.9/56	2020-07-11	2020.526413	2019.904226	2021.428881
NODE_0000002	2021-01-25	2021.066449	2020.513251	2021.843783
NODE_0000003	2021-06-23	2021.475784	2020.894756	2022.001818
EPI2311568|A/northern_gannet/MA/22WI00050/2022|H5N1|NP|2.3.4.4b||wild-bird|MA|2022-05-10	2022-05-10	2022.354795	2022.354795	2022.354795
77/81	2022-03-19	2022.212099	2021.804351	2022.417201
EPI2310283|A/common_tern/Maine/22-025070-002-original/2022|H5N1|NP|2.3.4.4b||wild-bird|Maine|2022-07-20	2022-07-20	2022.549315	2022.549315	2022.549315
EPI2311456|A/common_tern/ME/COTE_20220614_1/2022|H5N1|NP|2.3.4.4b|A2|wild-bird|ME|2022-06-14	2022-06-14	2022.450685	2022.450685	2022.450685
85.3/64	2021-07-30	2021.577636	2021.246146	2021.976916
EPI2709621|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|NP|2.3.4.4b||wild-bird|Connecticut|2022-02-16	2022-02-16	2022.127397	2022.127397	2022.127397
EPI2310147|A/american_crow/Massachusetts/22-016611-007-original/2022|H5N1|NP|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-21	2022-03-21	2022.217808	2022.217808	2022.217808
EPI2310053|A/american_crow/Massachusetts/22-006976-004-original/2022|H5N1|NP|2.3.4.4b||wild-bird|Massachusetts|2022-02-27	2022-02-27	2022.157534	2022.157534	2022.157534
86.2/64	2021-10-24	2021.812962	2021.530511	2022.106566
NODE_0000005	2022-03-02	2022.165753	2021.853849	2022.165753
EPI2311392|A/sanderling/MA/22HP00192/2022|H5N1|NP|2.3.4.4b|A2|wild-bird|MA|2022-03-03	2022-03-03	2022.168493	2022.168493	2022.168493
