#name, A, B, C, D, E, F
NODE_0000000, 1.7771755396578805e-05, 2.666746642248009e-06, 2.471080939040575e-07, 2.2573912457571037e-05, 0.892408604196705, 0.10754813628070481
EPI2259032|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|NP|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2258944|A/duck/Minnesota/22-014663-004-original/2022|H5N1|NP|2.3.4.4b|B2.1|poultry|Minnesota|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/27, 1.2509334597832309e-05, 1.8838502574368663e-06, 1.899367525118635e-07, 2.994776104213148e-05, 0.6069298006913562, 0.39302566842599385
EPI2703735|A/Red-tailed_Hawk/Minnesota/USDA-012668-006/2022|H5N1|NP|2.3.4.4b||wild-bird|Minnesota|2022-04-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
86.5/59, 1.442986231990877e-05, 2.2327006149044852e-06, 2.2572031101885032e-07, 3.640300553784817e-05, 0.6661476455120366, 0.3337990631991797
EPI2246713|A/turkey/South_Dakota/22-013454-001-original/2022|H5N1|NP|2.3.4.4b||poultry|South_Dakota|2022-04-30, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/23, 7.885326697540368e-06, 1.1975161961717625e-06, 1.2507375163898108e-07, 2.733150742739182e-05, 0.5236496986824097, 0.47631376189351743
0/20, 1.2316102686615083e-05, 1.9810039742055706e-06, 2.0937750090089789e-07, 3.472517469154212e-05, 0.5364151706978705, 0.46353559764327623
EPI2712116|A/Great_Horned_Owl/Minnesota/USDA-012931-007/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2246105|A/duck/Wisconsin/22-012376-002-original/2022|H5N1|NP|2.3.4.4b|B2.1|poultry|Wisconsin|2022-04-21, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
0/5, 6.943814616236121e-06, 1.133744511020698e-06, 1.2717063274327235e-07, 3.369048410379529e-05, 0.3161099023565811, 0.6838482024295551
0/3, 6.435061755313843e-06, 1.064695235719848e-06, 1.2135283007795822e-07, 3.4951242291822833e-05, 0.23602634735820466, 0.7639310802896823
0/2, 6.4082821123353925e-06, 1.0111719280130367e-06, 1.1176669744899238e-07, 3.152195748723006e-05, 0.33565517194092037, 0.6643057748808546
0/9, 1.2177071766284722e-05, 2.02496626397456e-06, 2.2269188003585293e-07, 4.202566349896944e-05, 0.39881866720031084, 0.60112488240628
EPI2074533|A/turkey/Minnesota/22-010124-001-original/2022|H5N1|NP|2.3.4.4b||poultry|Minnesota|2022-04-04, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2705137|A/Wood_Duck/Minnesota/USDA-012022-002/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-14, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/4, 1.1333112146647842e-05, 1.8470383864004333e-06, 2.0197219535295315e-07, 4.030324255255431e-05, 0.37254084977788965, 0.6274054648568294
EPI2702626|A/Snow_Goose/North_Dakota/USDA-009399-001/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Dakota|2022-03-29, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/34, 1.568923056936942e-05, 2.358094117682042e-06, 2.22430709985428e-07, 2.1579234481404323e-05, 0.8683052996651822, 0.13165485134493923
EPI2259168|A/chicken/North_Dakota/22-015199-002-original/2022|H5N1|NP|2.3.4.4b|B2.1|poultry|North_Dakota|2022-05-15, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
92.4/89, 5.016099047854107e-06, 6.761358504414555e-07, 5.6695220192725926e-08, 3.731339863763648e-06, 0.981602717574171, 0.01838780215584686
EPI2260751|A/chicken/Florida/22-036767-001-original/2022|H5N1|NP|2.3.4.4b||poultry|Florida|2022-11-14, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
84.3/66, 3.2036737379010214e-06, 3.9363466744787153e-07, 3.050536215792752e-08, 1.620428682047282e-06, 0.991763658957075, 0.008231092800475435
EPI2263884|A/chicken/Florida/22-033389-001-original/2022|H5N1|NP|2.3.4.4b|B2.2|poultry|Florida|2022-10-18, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/65, 1.9109298925427498e-05, 2.764223562553493e-06, 2.2758918753873043e-07, 1.096490003427844e-05, 0.980721731934017, 0.019245202054273172
EPI2260775|A/chicken/North_Dakota/22-036126-001-original/2022|H5N1|NP|2.3.4.4b||poultry|North_Dakota|2022-11-08, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2260519|A/chicken/Maine/22-037360-002-original/2022|H5N1|NP|2.3.4.4b||poultry|Maine|2022-11-16, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/3, 4.683390649976104e-06, 8.297188125356903e-07, 1.027634097571543e-07, 3.908252586593716e-05, 0.0680147752548123, 0.9319405263464496
0/9, 5.511494527273172e-06, 1.096681461307461e-06, 1.4991461644597903e-07, 6.666206957241277e-05, 0.024749461431621697, 0.9751771184082008
EPI2711084|A/Hooded_Merganser/Minnesota/USDA-012024-001/2022|H5N1|NP|2.3.4.4b||wild-bird|Minnesota|2022-04-12, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2712851|A/Great_Horned_Owl/Minnesota/USDA-011871-006/2022|H5N1|NP|2.3.4.4b||wild-bird|Minnesota|2022-04-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/2, 3.043909652960653e-06, 5.663194692408596e-07, 7.46986105684938e-08, 3.48775881847546e-05, 0.03283594411850898, 0.9671254933655735
0/2, 2.754186662266333e-06, 5.220014862426159e-07, 7.020153200893885e-08, 3.447997167418552e-05, 0.022638411345744097, 0.9773237622929013
0/1, 3.921606014988852e-06, 6.979156129137458e-07, 8.845782047561672e-08, 3.815607992468292e-05, 0.04428345190737335, 0.9556736840332535
0/17, 1.3085606968629049e-05, 2.3138035418541876e-06, 2.7055574505862244e-07, 6.114657142272678e-05, 0.15135171192864486, 0.8485714715336767
EPI2709126|A/American_Crow/North_Dakota/USDA-013140-003/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Dakota|2022-04-21, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2705949|A/chicken/Nebraska/USDA-010905-001/2022|H5N1|NP|2.3.4.4b|B2.1|poultry|Nebraska|2022-04-11, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/11, 4.364787241539023e-06, 8.758173442545063e-07, 1.2173007487154798e-07, 5.7739465587781007e-05, 0.01741366707636814, 0.9825232311233835
EPI2702554|A/Snow_Goose/North_Dakota/USDA-009410-001/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Dakota|2022-03-21, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2705062|A/Ross_s_Goose/North_Dakota/USDA-010663-020/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|North_Dakota|2022-04-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/4, 2.209151235364453e-06, 4.3954862172710633e-07, 6.170800085458209e-08, 3.3800691728867404e-05, 0.009384788352692963, 0.9905787005477202
EPI2704319|A/Ross_s_Goose/Minnesota/USDA-011226-001/2022|H5N1|NP|2.3.4.4b||wild-bird|Minnesota|2022-04-05, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
83.5/73, 2.197547680670447e-06, 4.4043159023400495e-07, 6.280441385247637e-08, 7.72787078599533e-05, 0.008095176948534366, 0.991824843559921
0/38, 1.9404925829483515e-06, 3.977989922366848e-07, 5.723670722190959e-08, 3.2027207899325885e-05, 0.005434247923148342, 0.9945313293406699
EPI2707453|A/Bald_Eagle/Minnesota/USDA-011229-001/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-06, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2708185|A/Bald_Eagle/Minnesota/USDA-012668-010/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/90, 3.2052558771124406e-06, 7.592506564026982e-07, 1.2821679943325524e-07, 0.0012529283564022176, 0.007483326796289658, 0.9912596521239752
EPI2179725|A/pheasant/South_Dakota/22-011098-001-original/2022|H5N1|NP|2.3.4.4b||wild-bird|South_Dakota|2022-04-12, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
NODE_0000025, 2.312182103518482e-05, 8.23677085437135e-06, 1.7846234900624385e-06, 0.034937938505615745, 0.010580091017382293, 0.9544488272616224
EPI2712779|A/Great_Horned_Owl/Minnesota/USDA-011871-011/2022|H5N1|NP|2.3.4.4b||wild-bird|Minnesota|2022-04-15, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2053906|A/fox/Minnesota/22-014660-002-original/2022|H5N1|NP|2.3.4.4b|B2.1|mammal|Minnesota|2022-05-10, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0
0/4, 3.034043607972975e-06, 5.653674216567161e-07, 7.459863822966684e-08, 3.471909288344842e-05, 0.03365427477910587, 0.9663073321183427
0/6, 3.0413934288092825e-06, 5.687658252060566e-07, 7.521273020467606e-08, 3.438396838864706e-05, 0.02730658113279573, 0.9726553495268313
EPI2712343|A/Great_Horned_Owl/Minnesota/USDA-012414-001/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-13, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/15, 7.261419485941104e-06, 1.2797008081533976e-06, 1.5649723387610224e-07, 5.4045990965212315e-05, 0.07889553043195822, 0.9210417259595487
EPI2704379|A/Red-tailed_Hawk/Iowa/USDA-011298-001/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|Iowa|2022-04-13, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
86.7/63, 2.296302330444287e-05, 4.060859433352678e-06, 4.6862059731017125e-07, 9.674463087270418e-05, 0.3084966073274373, 0.6913791555383548
EPI2711788|A/goose/South_Dakota/USDA-008382-001/2022|H5N1|NP|2.3.4.4b|B2.1|poultry|South_Dakota|2022-03-16, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2702757|A/Snow_Goose/North_Dakota/USDA-010663-006/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Dakota|2022-04-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/4, 3.808214864545523e-06, 6.812130086532484e-07, 8.60517262742997e-08, 3.554110673572854e-05, 0.06608615235733135, 0.9338737310563334
0/5, 5.215550987190572e-06, 8.909078627813716e-07, 1.0685724830117386e-07, 3.732209410218453e-05, 0.12242186934318733, 0.8775345952466123
0/14, 5.000383954727776e-06, 8.671740092451205e-07, 1.0504338363417347e-07, 3.6442362262942294e-05, 0.09656578592596819, 0.9033917991104212
EPI2705588|A/Wood_Duck/Minnesota/USDA-012670-001/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-19, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
85.2/68, 1.2025806070714462e-05, 2.0831623824315492e-06, 2.397557500360093e-07, 5.128958007228961e-05, 0.2238251142143055, 0.7761092474814191
EPI2711907|A/goose/Wyoming/USDA-010373-001/2022|H5N1|NP|2.3.4.4b|B2.1|poultry|Wyoming|2022-03-31, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2702637|A/Snow_Goose/North_Dakota/USDA-010663-012/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|North_Dakota|2022-04-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/3, 1.2116788759830595e-05, 2.059083152880362e-06, 2.33983233129126e-07, 5.093929294527137e-05, 0.2704160023420712, 0.7295186485098377
EPI2179629|A/turkey/Wisconsin/22-010935-002-original/2022|H5N1|NP|2.3.4.4b|B2.1|poultry|Wisconsin|2022-04-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/32, 6.315393581202083e-06, 1.158660836018e-06, 1.4554428928874894e-07, 4.985156474355412e-05, 0.05580189555449343, 0.9441406332820566
EPI2702221|A/Snow_Goose/North_Dakota/USDA-009483-001/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Dakota|2022-03-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2702517|A/Snow_Goose/North_Dakota/USDA-011033-005/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|North_Dakota|2022-04-05, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/0, 5.032617738658582e-06, 8.91429873930555e-07, 1.0929656526639141e-07, 3.739132322830175e-05, 0.07994862356964647, 0.9200079517629473
EPI2711216|A/Herring_Gull/Wisconsin/USDA-012771-002/2022|H5N1|NP|2.3.4.4b|B2.1|wild-bird|Wisconsin|2022-04-20, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/7, 9.296970733587645e-06, 1.5415684701336272e-06, 1.739845728826428e-07, 4.19103017323774e-05, 0.26992244964105805, 0.7300246275334329
0/2, 6.502410320515022e-06, 1.0558150726372527e-06, 1.2060729032668034e-07, 3.770024234650435e-05, 0.18912448784132296, 0.8108301330836472
