#name, A, B, C, D, E, F
NODE_0000000, 9.91328329587693e-06, 1.0527863928652163e-06, 1.4462514416278272e-07, 1.4797328987211242e-05, 0.7740899356366348, 0.2258841563395451
EPI2259033|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|NS|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/28, 6.059730917128492e-06, 6.053320164453965e-07, 7.676091019971492e-08, 1.1586118152109674e-05, 0.8159293924496845, 0.18405227960831966
0/18, 2.3906001777678087e-05, 2.602016854493216e-06, 3.5566804894149895e-07, 4.1976782791752926e-05, 0.708178423379491, 0.29175273615103625
EPI2258993|A/chicken/Washington/22-014744-001-original/2022|H5N1|NS|2.3.4.4b|B4.1|poultry|Washington|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
83.4/64, 3.241120577783526e-05, 3.332290812605744e-06, 6.500324286615104e-07, 0.0001815424839630898, 0.22698869678688538, 0.7727933672001324
EPI2709203|A/American_Pelican/Montana/USDA-012936-005/2022|H5N1|NS|2.3.4.4b||wild-bird|Montana|2022-04-24, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
EPI2614064|A/snowy_egret/California/23-009161-004-original/2023|H5N1|NS|2.3.4.4b|B4.1|wild-bird|California|2023-03-16, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/20, 7.337395564122305e-06, 8.077574495356259e-07, 9.760208531197635e-08, 9.139451272880955e-06, 0.891177126939078, 0.10880549085455027
EPI2263420|A/chicken/Oregon/22-034833-001-original/2022|H5N1|NS|2.3.4.4b|B4.1|poultry|Oregon|2022-10-28, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
78.2/74, 1.698645130993083e-05, 1.877915005591457e-06, 2.538253016921692e-07, 2.061013167365698e-05, 0.7860175854828912, 0.21394268619381776
EPI2298223|A/Canada_goose/California/246038/2022|H5N1|NS|2.3.4.4b|B4.1|wild-bird|California|2022-07-05, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2263388|A/chicken/Oregon/22-030743-001-original/2022|H5N1|NS|2.3.4.4b|B4.1|poultry|Oregon|2022-09-28, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/82, 1.141362808310712e-05, 1.0830228062955173e-06, 2.085330091369159e-07, 6.008091986887532e-05, 0.19069821343110133, 0.8092290004651312
EPI2188327|A/bald_eagle/North_Carolina/W22-140/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Carolina|2022-02-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
86.1/64, 9.585899978249382e-06, 8.801600915219373e-07, 1.9844450953031906e-07, 0.00012873419379952754, 0.07692464989312506, 0.9229359514084962
92.7/88, 1.3196168979875713e-05, 1.2279943125036094e-06, 3.2273885112205666e-07, 0.0002582122710034476, 0.03480704683585313, 0.9649199939909999
EPI2311569|A/northern_gannet/MA/22WI00050/2022|H5N1|NS|2.3.4.4b||wild-bird|MA|2022-05-10, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/43, 2.685583827474321e-06, 2.1454959243314414e-07, 5.788098667244616e-08, 6.60911181346409e-05, 0.014525569569088419, 0.9854053812983704
80.5/68, 2.7917023983647213e-06, 2.3743439525854514e-07, 6.94004825699203e-08, 7.077268919686686e-05, 0.008276872913024884, 0.991649255860502
EPI2310244|A/herring_gull/Maine/22-022526-016-original/2022|H5N1|NS|2.3.4.4b||wild-bird|Maine|2022-07-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
EPI2311433|A/common_eider/MA/22MM00772/2022|H5N1|NS|2.3.4.4b||wild-bird|MA|2022-06-19, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/6, 2.0504173111935073e-06, 1.66986900449223e-07, 4.6943509299584806e-08, 5.260255764903875e-05, 0.009964960621054482, 0.9899801724735755
0/40, 1.713752855486866e-06, 1.4272363721515937e-07, 4.25031916980958e-08, 4.550337123604456e-05, 0.005365190451662064, 0.9945874071974175
EPI2311393|A/sanderling/MA/22HP00192/2022|H5N1|NS|2.3.4.4b|A2|wild-bird|MA|2022-03-03, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2311529|A/american_crow/MA/22HP00160/2022|H5N1|NS|2.3.4.4b|A2|wild-bird|MA|2022-03-22, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/8, 4.779456092464276e-06, 4.1437307194684423e-07, 1.1688932801631832e-07, 0.00011545988318869772, 0.014288860430588099, 0.9855903689677309
93.4/82, 4.3025259197859e-06, 3.778537177957619e-07, 1.1035649345397696e-07, 0.000105742119476389, 0.009348260400570383, 0.9905412067438222
EPI2310284|A/common_tern/Maine/22-025070-002-original/2022|H5N1|NS|2.3.4.4b||wild-bird|Maine|2022-07-20, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
