#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000006	2023-07-13	2023.530019	2022.601779	2023.873734
EPI_ISL_19014396|2024-01-25	2024-01-26	2024.070000	2024.070000	2024.070000
NODE_0000001	2023-07-22	2023.555783	2022.602537	2023.873544
EPI_ISL_19014398|2024-02-14	2024-02-13	2024.120000	2024.120000	2024.120000
NODE_0000000	2023-08-25	2023.648099	2022.802156	2023.922581
EPI_ISL_19014400|2024-02-23	2024-02-24	2024.150000	2024.150000	2024.150000
NODE_0000002	2023-10-22	2023.806011	2023.185569	2024.020919
EPI_ISL_19027114|2024-03-28	2024-03-28	2024.240000	2024.240000	2024.240000
NODE_0000003	2023-12-14	2023.951823	2023.581989	2024.106307
NODE_0000004	2024-01-17	2024.045390	2023.794590	2024.151427
A/cattle/Texas/24-009110-023/2024|2024-03-14	2024-03-14	2024.200000	2024.200000	2024.200000
NODE_0000005	2024-02-05	2024.096698	2023.885499	2024.168261
A/cattle/New_Mexico/24-010195-004/2024|2024-03-15	2024-03-17	2024.210000	2024.210000	2024.210000
A/cattle/Texas/24-009110-003/2024|2024-03-14	2024-03-14	2024.200000	2024.200000	2024.200000
A/chicken/Texas/24-009654-001/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
A/cattle/Texas/24-009110-019/2024|2024-03-14	2024-03-14	2024.200000	2024.200000	2024.200000
NODE_0000009	2024-02-29	2024.162248	2024.028781	2024.209905
A/cattle/New_Mexico/24-010193-006/2024|2024-03-29	2024-03-28	2024.240000	2024.240000	2024.240000
A/cattle/New_Mexico/24-010193-007/2024|2024-03-29	2024-03-28	2024.240000	2024.240000	2024.240000
A/chicken/Texas/24-009654-004/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
A/cattle/New_Mexico/24-010192-006/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
A/cattle/New_Mexico/24-010193-003/2024|2024-03-29	2024-03-28	2024.240000	2024.240000	2024.240000
NODE_0000014	2024-03-19	2024.214889	2024.167414	2024.239814
A/cattle/New_Mexico/24-010330-003/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
A/cattle/New_Mexico/24-010330-006-300/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
A/cattle/New_Mexico/24-010330-012-300/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
A/cattle/New_Mexico/24-010330-008/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
A/cattle/New_Mexico/24-010330-013-300/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
NODE_0000010	2024-03-24	2024.228145	2024.207483	2024.250000
A/cattle/New_Mexico/24-010330-009-300/2024|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
