#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI2703935|A/Sanderling/Massachusetts/USDA-007696-003/2022|H5N1|HA|2.3.4.4b||wild-bird|Massachusetts|2022-03-02, 2022.1657534246576, 0.003146, -0.000175
EPI2310052|A/american_crow/Massachusetts/22-006976-004-original/2022|H5N1|HA|2.3.4.4b||wild-bird|Massachusetts|2022-02-27, 2022.1575342465753, 0.003710, 0.000426
EPI2709618|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|HA|2.3.4.4b||wild-bird|Connecticut|2022-02-16, 2022.127397260274, 0.003710, 0.000561
EPI2310154|A/american_crow/Massachusetts/22-016611-007-original/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-21, 2022.217808219178, 0.003146, -0.000409
EPI2311399|A/sanderling/MA/22HP00192/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|MA|2022-03-03, 2022.168493150685, 0.002584, -0.000750
EPI2704522|A/Sanderling/Massachusetts/USDA-007696-008/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-06, 2022.176712328767, 0.003145, -0.000226
EPI2311535|A/american_crow/MA/22HP00160/2022|H5N1|HA|2.3.4.4b|A2|wild-bird|MA|2022-03-22, 2022.2205479452055, 0.003705, 0.000137
EPI2310250|A/herring_gull/Maine/22-022526-016-original/2022|H5N1|HA|2.3.4.4b||wild-bird|Maine|2022-07-08, 2022.5164383561644, 0.005393, 0.000495
EPI2311439|A/common_eider/MA/22MM00772/2022|H5N1|HA|2.3.4.4b||wild-bird|MA|2022-06-19, 2022.464383561644, 0.004832, 0.000168
EPI2311575|A/northern_gannet/MA/22WI00050/2022|H5N1|HA|2.3.4.4b||wild-bird|MA|2022-05-10, 2022.354794520548, 0.001923, -0.002249
EPI2310290|A/common_tern/Maine/22-025070-002-original/2022|H5N1|HA|2.3.4.4b||wild-bird|Maine|2022-07-20, 2022.5493150684931, 0.006471, 0.001425
