#name, A, B, C, D, E, F
NODE_0000000, 1.537275609343557e-05, 1.7154787360860339e-06, 3.84557528263866e-07, 4.2075185414852464e-05, 0.4859104598415681, 0.5140299921806593
EPI2259035|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|PA|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/3, 8.593199317594434e-06, 6.816255468686022e-07, 2.453848587359742e-07, 3.855289119262023e-05, 0.07997179310209108, 0.9199801337969932
EPI2702951|A/Snow_Goose/Missouri/USDA-006805-001/2022|H5N1|PA|2.3.4.4b|A1|wild-bird|Missouri|2022-02-23, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/4, 3.244933465415244e-06, 2.0368111914418414e-07, 1.0238821276626002e-07, 2.383356339285397e-05, 0.019523344788343, 0.9804492706454667
EPI2704856|A/Ross_s_Goose/North_Dakota/USDA-010663-025/2022|H5N1|PA|2.3.4.4b||wild-bird|North_Dakota|2022-04-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/2, 2.9164971540266587e-06, 1.7569910038217257e-07, 9.372238776838216e-08, 2.328866337293638e-05, 0.017060357116272552, 0.9829131683017124
83.5/62, 4.502802511158352e-06, 3.232219722447863e-07, 1.2870346049994927e-07, 2.743417771903052e-05, 0.049789088273991464, 0.9501785228203457
0/36, 1.6652401833175166e-05, 1.4519572676358699e-06, 4.7393897999171604e-07, 6.286637530613238e-05, 0.13729081057881506, 0.8626277447477979
EPI2067311|A/turkey/Minnesota/22-009997-001-original/2022|H5N1|PA|2.3.4.4b|A1|poultry|Minnesota|2022-04-02, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2704156|A/Ross_s_Goose/Missouri/USDA-012338-012/2022|H5N1|PA|2.3.4.4b|B5.1|wild-bird|Missouri|2022-03-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/22, 4.813355705693565e-06, 3.558118370248011e-07, 1.3958613969116726e-07, 2.76759865813602e-05, 0.04968129060344034, 0.9502857246562959
EPI2705206|A/Ross_s_Goose/North_Dakota/USDA-010036-002/2022|H5N1|PA|2.3.4.4b||wild-bird|North_Dakota|2022-03-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/29, 1.5138856843418161e-05, 1.3056182683619486e-06, 4.2542417411255465e-07, 5.5608018641929756e-05, 0.1721899926075885, 0.8277375294744835
EPI2016915|A/turkey/South_Dakota/22-008239-001-original/2022|H5N1|PA|2.3.4.4b||poultry|South_Dakota|2022-03-17, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2702570|A/Snow_Goose/North_Dakota/USDA-009399-003/2022|H5N1|PA|2.3.4.4b||wild-bird|North_Dakota|2022-03-29, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/1, 2.2050495722777577e-06, 1.1271132339160108e-07, 7.677777537071033e-08, 2.086748222961358e-05, 0.005964239997194404, 0.9940124979819048
EPI2711128|A/Mallard/Ohio/USDA-009207-003/2022|H5N1|PA|2.3.4.4b||wild-bird|Ohio|2022-03-08, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/2, 2.084435881336203e-06, 1.0231720531465603e-07, 7.3658500634057e-08, 2.0503272027294807e-05, 0.004664992148031524, 0.9953122441683538
EPI2702690|A/Snow_Goose/North_Dakota/USDA-009481-006/2022|H5N1|PA|2.3.4.4b||wild-bird|North_Dakota|2022-03-23, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
0/2, 2.3115236353052454e-06, 1.211352736505429e-07, 7.932431999258892e-08, 2.1206156058801146e-05, 0.006983277992210401, 0.9929930038685019
EPI2709640|A/American_Crow/Minnesota/USDA-012668-016/2022|H5N1|PA|2.3.4.4b|B3.1|wild-bird|Minnesota|2022-04-25, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/1, 3.999533120570934e-06, 2.6015762720803605e-07, 1.2117141634202277e-07, 2.644255541573641e-05, 0.023944840422205762, 0.9760243361602144
EPI2708339|A/Bald_Eagle/Florida/USDA-007915-002/2022|H5N1|PA|2.3.4.4b||wild-bird|Florida|2022-02-28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
0/0, 1.6811830159718897e-05, 1.4465187108084497e-06, 4.747165512503215e-07, 6.457768032143211e-05, 0.1362181740658409, 0.8636985151884159
EPI2263927|A/chicken/Iowa/22-033362-001-original/2022|H5N1|PA|2.3.4.4b|B3.1|poultry|Iowa|2022-10-19, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/1, 4.078004484949457e-06, 2.7062123329339575e-07, 1.224755244238247e-07, 2.650865579074071e-05, 0.02762692369073168, 0.972342096552235
EPI2710787|A/Black_Vulture/Maryland/USDA-012990-001/2022|H5N1|PA|2.3.4.4b||wild-bird|Maryland|2022-04-26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
0/1, 2.809775897536475e-06, 1.6706743640079811e-07, 9.130941998530035e-08, 2.2526198628636468e-05, 0.015064750674017623, 0.9849096549745999
EPI2710882|A/Mallard/Kentucky/USDA-005153-004/2022|H5N1|PA|2.3.4.4b||wild-bird|Kentucky|2022-02-07, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/1, 4.898274847385273e-06, 3.54232089839079e-07, 1.472805274147607e-07, 2.835162207289011e-05, 0.038786846163952005, 0.9611794024265106
