#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI2311568|A/northern_gannet/MA/22WI00050/2022|H5N1|NP|2.3.4.4b||wild-bird|MA|2022-05-10, 2022.354794520548, 0.065303, -0.002350
EPI2310283|A/common_tern/Maine/22-025070-002-original/2022|H5N1|NP|2.3.4.4b||wild-bird|Maine|2022-07-20, 2022.5493150684931, 0.066588, -0.001566
EPI2311456|A/common_tern/ME/COTE_20220614_1/2022|H5N1|NP|2.3.4.4b|A2|wild-bird|ME|2022-06-14, 2022.4506849315069, 0.066585, -0.001315
EPI2709621|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|NP|2.3.4.4b||wild-bird|Connecticut|2022-02-16, 2022.127397260274, 0.065945, -0.001124
EPI2310147|A/american_crow/Massachusetts/22-016611-007-original/2022|H5N1|NP|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-21, 2022.217808219178, 0.066588, -0.000713
EPI2310053|A/american_crow/Massachusetts/22-006976-004-original/2022|H5N1|NP|2.3.4.4b||wild-bird|Massachusetts|2022-02-27, 2022.1575342465753, 0.065945, -0.001201
EPI2703937|A/Sanderling/Massachusetts/USDA-007696-003/2022|H5N1|NP|2.3.4.4b||wild-bird|Massachusetts|2022-03-02, 2022.1657534246576, 0.065943, -0.001225
EPI2311392|A/sanderling/MA/22HP00192/2022|H5N1|NP|2.3.4.4b|A2|wild-bird|MA|2022-03-03, 2022.168493150685, 0.065943, -0.001232
EPI2311432|A/common_eider/MA/22MM00772/2022|H5N1|NP|2.3.4.4b||wild-bird|MA|2022-06-19, 2022.464383561644, 0.067221, -0.000714
EPI2311528|A/american_crow/MA/22HP00160/2022|H5N1|NP|2.3.4.4b|A2|wild-bird|MA|2022-03-22, 2022.2205479452055, 0.066582, -0.000726
EPI2310243|A/herring_gull/Maine/22-022526-016-original/2022|H5N1|NP|2.3.4.4b||wild-bird|Maine|2022-07-08, 2022.5164383561644, 0.066582, -0.001488
EPI2704523|A/Sanderling/Massachusetts/USDA-007696-008/2022|H5N1|NP|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-06, 2022.176712328767, 0.067224, 0.000028
EPI2709646|A/Backyard_bird/Nebraska/USDA-009190-001/2022|H5N1|NP|2.3.4.4b||wild-bird|Nebraska|2022-03-24, 2022.2260273972602, 0.067230, -0.000092
EPI2074525|A/turkey/Minnesota/22-010123-004-original/2022|H5N1|NP|2.3.4.4b|A1|poultry|Minnesota|2022-04-04, 2022.2561643835616, 0.069155, 0.001755
EPI2712640|A/Green-winged_Teal/North_Carolina/USDA-003830-004/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Carolina|2022-01-29, 2022.0780821917808, 0.069151, 0.002209
EPI2067100|A/turkey/North_Carolina/22-009983-008-original/2022|H5N1|NP|2.3.4.4b||poultry|North_Carolina|2022-03-31, 2022.2452054794521, 0.069151, 0.001779
EPI2176465|A/snow_goose/Kansas/W22-199A/2022|H5N1|NP|2.3.4.4b||wild-bird|Kansas|2022-03-14, 2022.1986301369864, 0.067871, 0.000619
EPI2067308|A/turkey/Minnesota/22-009997-001-original/2022|H5N1|NP|2.3.4.4b|A1|poultry|Minnesota|2022-04-02, 2022.2506849315068, 0.071093, 0.003707
EPI2703422|A/Snow_Goose/South_Dakota/USDA-009478-020/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|South_Dakota|2022-03-18, 2022.2095890410958, 0.068512, 0.001232
EPI2711136|A/Mallard/Ohio/USDA-009207-003/2022|H5N1|NP|2.3.4.4b||wild-bird|Ohio|2022-03-08, 2022.182191780822, 0.067871, 0.000661
EPI2712882|A/goose/Nebraska/USDA-007179-001/2022|H5N1|NP|2.3.4.4b|A1|poultry|Nebraska|2022-03-07, 2022.1794520547944, 0.069156, 0.001953
EPI2702335|A/Snow_Goose/Kentucky/USDA-004809-002/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|Kentucky|2022-02-08, 2022.1054794520549, 0.068513, 0.001500
EPI2704391|A/Ross_s_Goose/Iowa/USDA-008378-001/2022|H5N1|NP|2.3.4.4b||wild-bird|Iowa|2022-03-15, 2022.2013698630137, 0.068512, 0.001254
EPI2712593|A/Green-winged_Teal/North_Carolina/USDA-004007-005/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|North_Carolina|2022-01-31, 2022.0835616438355, 0.069156, 0.002200
EPI2702965|A/Snow_Goose/Missouri/USDA-006805-001/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|Missouri|2022-02-23, 2022.1465753424657, 0.068513, 0.001395
EPI2712251|A/Blue-winged_Teal/Florida/USDA-002578-009/2022|H5N1|NP|2.3.4.4b||wild-bird|Florida|2022-01-22, 2022.058904109589, 0.067871, 0.000978
EPI2703857|A/Snow_Goose/Kansas/USDA-008980-003/2022|H5N1|NP|2.3.4.4b||wild-bird|Kansas|2022-03-12, 2022.1931506849314, 0.067871, 0.000633
EPI2702791|A/turkey/Indiana/USDA-005328-001/2022|H5N1|NP|2.3.4.4b||poultry|Indiana|2022-02-18, 2022.1328767123289, 0.067871, 0.000788
EPI2710186|A/Backyard_bird/Wisconsin/USDA-009934-002/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|Wisconsin|2022-03-31, 2022.2452054794521, 0.067871, 0.000499
EPI2713084|A/Gadwall/Virginia/USDA-003923-001/2022|H5N1|NP|2.3.4.4b||wild-bird|Virginia|2022-01-29, 2022.0780821917808, 0.067871, 0.000929
EPI2710892|A/Mallard/Kentucky/USDA-005153-004/2022|H5N1|NP|2.3.4.4b||wild-bird|Kentucky|2022-02-07, 2022.1027397260275, 0.067871, 0.000865
EPI1985975|A/turkey/Indiana/22-003707-003/2022|H5N1|NP|2.3.4.4b|A1|poultry|Indiana|2022-02-07, 2022.1027397260275, 0.067871, 0.000865
EPI2705358|A/goose/Missouri/USDA-012338-006/2022|H5N1|NP|2.3.4.4b|A1|poultry|Missouri|2022-03-15, 2022.2013698630137, 0.067871, 0.000612
EPI2013934|A/turkey/Missouri/22-006944-002-original/2022|H5N1|NP|2.3.4.4b|A1|poultry|Missouri|2022-03-07, 2022.1794520547944, 0.067871, 0.000668
EPI2703481|A/Snow_Goose/Kansas/USDA-007919-003/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|Kansas|2022-03-04, 2022.1712328767123, 0.067871, 0.000689
EPI2711057|A/Hooded_Merganser/Missouri/USDA-007184-001/2022|H5N1|NP|2.3.4.4b||wild-bird|Missouri|2022-02-28, 2022.1602739726027, 0.067871, 0.000717
EPI2710157|A/American_White_Pelican/Missouri/USDA-006970-001/2022|H5N1|NP|2.3.4.4b||wild-bird|Missouri|2022-02-28, 2022.1602739726027, 0.067871, 0.000717
EPI2017192|A/chicken/Nebraska/22-009006-001-original/2022|H5N1|NP|2.3.4.4b|A1|poultry|Nebraska|2022-03-23, 2022.2232876712328, 0.068510, 0.001195
EPI2704207|A/Ross_s_Goose/South_Dakota/USDA-008384-004/2022|H5N1|NP|2.3.4.4b||wild-bird|South_Dakota|2022-03-16, 2022.204109589041, 0.069795, 0.002529
EPI2709315|A/American_Wigeon/North_Carolina/USDA-001330-031/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Carolina|2022-01-08, 2022.0205479452054, 0.069152, 0.002358
EPI2703200|A/Snowy_Owl/New_York/USDA-008969-001/2022|H5N1|NP|2.3.4.4b||wild-bird|New_York|2022-03-22, 2022.2205479452055, 0.069152, 0.001844
EPI2709252|A/American_Wigeon/North_Carolina/USDA-001672-005/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Carolina|2022-01-08, 2022.0205479452054, 0.068510, 0.001716
EPI2712615|A/goose/New_Hampshire/USDA-006203-002/2022|H5N1|NP|2.3.4.4b|A1|poultry|New_Hampshire|2022-02-22, 2022.1438356164383, 0.069801, 0.002690
EPI2704742|A/Wood_Duck/North_Carolina/USDA-003829-001/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|North_Carolina|2022-01-29, 2022.0780821917808, 0.071087, 0.004145
EPI2704857|A/chicken/Delaware/USDA-006945-004/2022|H5N1|NP|2.3.4.4b|A1|poultry|Delaware|2022-03-07, 2022.1794520547944, 0.069152, 0.001949
EPI2713100|A/Gadwall/South_Carolina/USDA-001743-008/2022|H5N1|NP|2.3.4.4b||wild-bird|South_Carolina|2022-01-06, 2022.0150684931507, 0.068510, 0.001730
EPI2712493|A/Gadwall/North_Carolina/USDA-001672-002/2022|H5N1|NP|2.3.4.4b||wild-bird|North_Carolina|2022-01-08, 2022.0205479452054, 0.068510, 0.001716
EPI2710006|A/Backyard_bird/Maine/USDA-008540-001/2022|H5N1|NP|2.3.4.4b||wild-bird|Maine|2022-03-22, 2022.2205479452055, 0.068510, 0.001202
EPI2311552|A/snowy_owl/MA/22MM00463/2022|H5N1|NP|2.3.4.4b||wild-bird|MA|2022-03-20, 2022.2150684931507, 0.069149, 0.001855
EPI2710697|A/Mallard/New_Hampshire/USDA-003417-054/2022|H5N1|NP|2.3.4.4b||wild-bird|New_Hampshire|2022-01-26, 2022.0698630136985, 0.069149, 0.002229
EPI2708173|A/Bald_Eagle/Iowa/USDA-010129-001/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|Iowa|2022-04-04, 2022.2561643835616, 0.069792, 0.002392
EPI2710068|A/Backyard_bird/Massachusetts/USDA-009371-001/2022|H5N1|NP|2.3.4.4b|A1|wild-bird|Massachusetts|2022-03-25, 2022.2287671232878, 0.070434, 0.003105
EPI2710863|A/Mallard/New_Hampshire/USDA-003417-032/2022|H5N1|NP|2.3.4.4b||wild-bird|New_Hampshire|2022-01-26, 2022.0698630136985, 0.069791, 0.002871
