#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI2709606|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|NA|2.3.4.4b||wild-bird|Connecticut|2022-02-16, 2022.127397260274, 0.002328, -0.000781
EPI2310153|A/american_crow/Massachusetts/22-016611-007-original/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-21, 2022.217808219178, 0.002328, -0.001117
EPI2310054|A/american_crow/Massachusetts/22-006976-004-original/2022|H5N1|NA|2.3.4.4b||wild-bird|Massachusetts|2022-02-27, 2022.1575342465753, 0.003015, -0.000206
EPI2311438|A/common_eider/MA/22MM00772/2022|H5N1|NA|2.3.4.4b||wild-bird|MA|2022-06-19, 2022.464383561644, 0.005087, 0.000725
EPI2311534|A/american_crow/MA/22HP00160/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|MA|2022-03-22, 2022.2205479452055, 0.004396, 0.000941
EPI2310249|A/herring_gull/Maine/22-022526-016-original/2022|H5N1|NA|2.3.4.4b||wild-bird|Maine|2022-07-08, 2022.5164383561644, 0.004391, -0.000164
EPI2704510|A/Sanderling/Massachusetts/USDA-007696-008/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-06, 2022.176712328767, 0.003703, 0.000410
EPI2703927|A/Sanderling/Massachusetts/USDA-007696-003/2022|H5N1|NA|2.3.4.4b||wild-bird|Massachusetts|2022-03-02, 2022.1657534246576, 0.003703, 0.000451
EPI2311398|A/sanderling/MA/22HP00192/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|MA|2022-03-03, 2022.168493150685, 0.003703, 0.000441
EPI2311574|A/northern_gannet/MA/22WI00050/2022|H5N1|NA|2.3.4.4b||wild-bird|MA|2022-05-10, 2022.354794520548, 0.001831, -0.002123
EPI2310289|A/common_tern/Maine/22-025070-002-original/2022|H5N1|NA|2.3.4.4b||wild-bird|Maine|2022-07-20, 2022.5493150684931, 0.004676, -0.000001
EPI2311462|A/common_tern/ME/COTE_20220614_1/2022|H5N1|NA|2.3.4.4b|A2|wild-bird|ME|2022-06-14, 2022.4506849315069, 0.004676, 0.000365
EPI2454983|A/Vulpes_vulpes/USA/088592/2022|H5N1|NA|2.3.4.4b||mammal|USA|2022-04-25, 2022.313698630137, 0.003318, -0.000484
EPI2181652|A/snow_goose/North_Dakota/N22-04/2022|H5N1|NA|2.3.4.4b||wild-bird|North_Dakota|2022-04-08, 2022.2671232876712, 0.002520, -0.001108
EPI2311558|A/snowy_owl/MA/22MM00463/2022|H5N1|NA|2.3.4.4b||wild-bird|MA|2022-03-20, 2022.2150684931507, 0.002520, -0.000914
EPI2710852|A/Mallard/New_Hampshire/USDA-003417-032/2022|H5N1|NA|2.3.4.4b||wild-bird|New_Hampshire|2022-01-26, 2022.0698630136985, 0.003208, 0.000313
EPI2710686|A/Mallard/New_Hampshire/USDA-003417-054/2022|H5N1|NA|2.3.4.4b||wild-bird|New_Hampshire|2022-01-26, 2022.0698630136985, 0.002520, -0.000375
EPI2473757|A/red_fox/Michigan/22-021733-005-original/2022|H5N1|NA|2.3.4.4b||mammal|Michigan|2022-07-06, 2022.5109589041097, 0.006004, 0.001470
EPI2131374|A/Vulpes_vulpes/New_York/099488/2022|H5N1|NA|2.3.4.4b||mammal|New_York|2022-04-04, 2022.2561643835616, 0.003897, 0.000309
EPI2259118|A/fox/New_York/22-015064-001-original/2022|H5N1|NA|2.3.4.4b||mammal|New_York|2022-04-27, 2022.3191780821917, 0.003897, 0.000075
EPI2188332|A/hooded_merganser/Florida/W22-154/2022|H5N1|NA|2.3.4.4b||wild-bird|Florida|2022-03-01, 2022.16301369863, 0.002520, -0.000721
EPI2455035|A/Vulpes_vulpes/USA/115912/2022|H5N1|NA|2.3.4.4b||mammal|USA|2022-05-20, 2022.3821917808218, 0.003207, -0.000849
EPI2711123|A/Hooded_Merganser/Florida/USDA-007915-003/2022|H5N1|NA|2.3.4.4b||wild-bird|Florida|2022-03-01, 2022.16301369863, 0.002520, -0.000721
EPI2707660|A/Bald_Eagle/Ohio/USDA-007697-001/2022|H5N1|NA|2.3.4.4b||wild-bird|Ohio|2022-03-07, 2022.1794520547944, 0.002520, -0.000782
EPI2708981|A/Black_Vulture/Florida/USDA-009054-001/2022|H5N1|NA|2.3.4.4b|B1.1|wild-bird|Florida|2022-03-18, 2022.2095890410958, 0.003902, 0.000488
EPI2689428|A/black_vulture/Georgia/CEIRR-569/2022|H5N1|NA|2.3.4.4b||wild-bird|Georgia|2022-08-12, 2022.6123287671232, 0.004585, -0.000327
EPI2506869|A/black_vulture/South_Carolina/W22-1080A/2022|H5N1|NA|2.3.4.4b|B1.1|wild-bird|South_Carolina|2022-11-02, 2022.83698630137, 0.005271, -0.000476
EPI2456441|A/black_vulture/South_Carolina/W22-623/2022|H5N1|NA|2.3.4.4b||wild-bird|South_Carolina|2022-08-22, 2022.6397260273973, 0.006656, 0.001643
EPI2456402|A/black_vulture/South_Carolina/W22-689B/2022|H5N1|NA|2.3.4.4b||wild-bird|South_Carolina|2022-08-25, 2022.6479452054793, 0.006660, 0.001617
