#name, A, B, C, D, E, F
NODE_0000000, 1.830531999699714e-05, 4.092057797533031e-06, 2.1041581622801957e-07, 2.551032326441214e-05, 0.5232612773308529, 0.47669060455227197
EPI2259037|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|PB1|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2702640|A/Snow_Goose/North_Dakota/USDA-010663-012/2022|H5N1|PB1|2.3.4.4b|B2.1|wild-bird|North_Dakota|2022-04-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/56, 1.9888395134651293e-05, 4.5747872739614795e-06, 2.2473978182068126e-07, 2.809972167462434e-05, 0.5152718790119861, 0.48467533334414886
96.8/96, 1.0342965032400662e-05, 4.029646755125519e-06, 1.2202528433760447e-07, 8.54757298194303e-06, 0.9419133987571329, 0.058063559032813274
EPI2260780|A/chicken/North_Dakota/22-036126-001-original/2022|H5N1|PB1|2.3.4.4b||poultry|North_Dakota|2022-11-08, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/31, 3.743064876234759e-06, 2.0913344284969468e-06, 4.0903684748544005e-08, 2.1447571307387583e-06, 0.9858051679607898, 0.014186811979090002
EPI2263889|A/chicken/Florida/22-033389-001-original/2022|H5N1|PB1|2.3.4.4b|B2.2|poultry|Florida|2022-10-18, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/45, 1.0368901794530294e-05, 6.802328351784795e-06, 1.3180908387696952e-07, 5.585683434989974e-06, 0.9855155277097563, 0.01446158356757853
EPI2260756|A/chicken/Florida/22-036767-001-original/2022|H5N1|PB1|2.3.4.4b||poultry|Florida|2022-11-14, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999, 0.0
EPI2260524|A/chicken/Maine/22-037360-002-original/2022|H5N1|PB1|2.3.4.4b||poultry|Maine|2022-11-16, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
88.2/67, 1.2456361817174394e-05, 1.8391110468376838e-06, 1.4319975716167099e-07, 2.5938813667476188e-05, 0.13271016730879984, 0.8672494552049116
EPI2705593|A/Wood_Duck/Minnesota/USDA-012670-001/2022|H5N1|PB1|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-19, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/12, 8.094721761220837e-06, 1.0791771952132526e-06, 9.196536176153149e-08, 2.0426661637098127e-05, 0.08536290730114295, 0.9146074001729018
EPI2704810|A/Snow_Goose/Colorado/USDA-008935-006/2022|H5N1|PB1|2.3.4.4b|B2.1|wild-bird|Colorado|2022-03-18, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/10, 1.0349488435017028e-05, 1.6132011294569847e-06, 1.1524480459745572e-07, 2.2348868031157597e-05, 0.17696024644472502, 0.8230053267528749
0/6, 1.6431201946743635e-05, 3.096195907871453e-06, 1.8650087249164142e-07, 2.7165505141604013e-05, 0.38359698359005756, 0.6163561370060737
0/3, 1.1345972560985448e-05, 3.879251506326768e-06, 1.2949829582867771e-07, 1.00325828914023e-05, 0.9017345246030924, 0.09824008809165295
EPI2035103|A/turkey/Minnesota/22-009314-001-original/2022|H5N1|PB1|2.3.4.4b||poultry|Minnesota|2022-03-28, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/13, 9.893528620502836e-06, 5.341692621954762e-06, 1.1883178432580355e-07, 6.529843026542551e-06, 0.9684229874034858, 0.03155512870046094
EPI2179706|A/chicken/Minnesota/22-010994-002-original/2022|H5N1|PB1|2.3.4.4b|B2.1|poultry|Minnesota|2022-04-10, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2074890|A/turkey/South_Dakota/22-010346-001-original/2022|H5N1|PB1|2.3.4.4b|B2.1|poultry|South_Dakota|2022-04-04, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
0/4, 1.1933750667946119e-05, 2.117209267046867e-06, 1.2862284277006665e-07, 2.258488868151614e-05, 0.2552863005650396, 0.7446769349635013
0/10, 7.99921899931622e-06, 9.3292631463221e-07, 9.516924627072568e-08, 2.1102139332481522e-05, 0.04081818143736571, 0.9591516891087416
EPI2711446|A/Hawk/North_Dakota/USDA-012638-001/2022|H5N1|PB1|2.3.4.4b|B2.1|wild-bird|North_Dakota|2022-04-09, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
EPI2705065|A/Ross_s_Goose/North_Dakota/USDA-010663-020/2022|H5N1|PB1|2.3.4.4b|B2.1|wild-bird|North_Dakota|2022-04-01, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
0/14, 2.2399056374231635e-05, 4.116128540969266e-06, 2.636449632056479e-07, 3.770831763922359e-05, 0.3509157206665073, 0.649019792185975
EPI2711219|A/Herring_Gull/Wisconsin/USDA-012771-002/2022|H5N1|PB1|2.3.4.4b|B2.1|wild-bird|Wisconsin|2022-04-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9999999999999999
91.6/95, 1.1179607660962987e-05, 3.926860367667032e-06, 1.3176130833506706e-07, 9.594820901132721e-06, 0.918709312942932, 0.08126585400682979
EPI2179330|A/turkey/Minnesota/22-010771-001-original/2022|H5N1|PB1|2.3.4.4b||poultry|Minnesota|2022-04-06, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
EPI2706428|A/turkey/Minnesota/USDA-010771-005/2022|H5N1|PB1|2.3.4.4b|B2.1|poultry|Minnesota|2022-04-06, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0
