	given_date	apparent_date	residual
EPI2689432|A/black_vulture/Georgia/CEIRR-569/2022|H5N1|PB1|2.3.4.4b||wild-bird|Georgia|2022-08-12	2022.6123287671232	2027.4917386289862	5.200014486185634
EPI2506874|A/black_vulture/South_Carolina/W22-1080A/2022|H5N1|PB1|2.3.4.4b|B1.1|wild-bird|South_Carolina|2022-11-02	2022.83698630137	2028.0232902478228	5.527073235249854
EPI2456445|A/black_vulture/South_Carolina/W22-623/2022|H5N1|PB1|2.3.4.4b||wild-bird|South_Carolina|2022-08-22	2022.6397260273973	2027.647568334121	5.336885663782643
EPI2906132|A/chicken/Iowa/23-035546-001-original/2023|H5N1|PB1|2.3.4.4b|B3.6|poultry|Iowa|2023-11-14	2023.8698630136987	2028.674894589385	5.120749128996002
EPI2906140|A/chicken/Iowa/23-035546-002-original/2023|H5N1|PB1|2.3.4.4b||poultry|Iowa|2023-11-14	2023.8698630136987	2028.674894589385	5.120749128996002
|A/common_raven/California/24-007417-001/2024|H5N1|PB1||B3.6|wild-bird|California|2024-02-20	2024.1379781420765	2029.1852246680064	5.378878961433529
EPI2868767|A/peacock/Oklahoma/23-031171-001-original/2023|H5N1|PB1|2.3.4.4b||poultry|Oklahoma|2023-10-11	2023.7767123287672	2028.6753305652683	5.2204849588867885
|A/american_crow/Iowa/24-006634-001/2024|H5N1|PB1||B3.6|wild-bird|Iowa|2024-03-01	2024.1653005464482	2028.870002583382	5.013827376227808
|A/turkey/South_Dakota/24-007379-001/2024|H5N1|PB1||B3.6|poultry|South_Dakota|2024-03-08	2024.1844262295083	2029.018911253802	5.152137834548614
|A/turkey/South_Dakota/24-007379-002/2024|H5N1|PB1||B3.6|poultry|South_Dakota|2024-03-08	2024.1844262295083	2029.018719818533	5.151933820908018
|A/cat/New_Mexico/24-009116-001/2024|H5N1|PB1|||domestic-mammal|New_Mexico|2024-03-20	2024.217213114754	2038.3992017879784	15.113824956596922
|A/turkey_vulture/California/24-007419-001/2024|H5N1|PB1||B3.6|wild-bird|California|2024-02-20	2024.1379781420765	2031.570470293301	7.920848616736735
|A/cattle/Texas/24-009495-005/2024|H5N1|PB1|||cattle|Texas|2024-03-21	2024.2199453551912	2029.8022317106354	5.949073911832631
