	given_date	apparent_date	residual
|A/canada_goose/Indiana/24-005146-001/2024|H5N1|NP||B3.7|wild-bird|Indiana|2024-02-14	2024.1215846994535	1992.6126027318132	-10.912355105297499
|A/crow/Illinois/24-004479-001/2024|H5N1|NP||B3.7|wild-bird|Illinois|2024-02-08	2024.1051912568305	1993.8543794056475	-10.47661906318236
|A/crow/Illinois/24-004479-002/2024|H5N1|NP||B3.7|wild-bird|Illinois|2024-02-08	2024.1051912568305	1993.8543794056475	-10.47661906318236
EPI2906343|A/peregrine_falcon/Iowa/23-034846-001-original/2023|H5N1|NP|2.3.4.4b||wild-bird|Iowa|2023-11-08	2023.8534246575343	1991.3724931598927	-11.248965739899893
EPI2906351|A/pheasant/Iowa/23-034845-001-original/2023|H5N1|NP|2.3.4.4b||wild-bird|Iowa|2023-11-09	2023.8561643835617	1987.6795768746254	-12.52886462027912
|A/canada_goose/Missouri/24-006385-003/2024|H5N1|NP||B3.7|wild-bird|Missouri|2024-02-22	2024.1434426229507	1988.909520375591	-12.202395866375355
EPI2870139|A/turkey/California/23-032623-001-original/2023|H5N1|NP|2.3.4.4b|B3.7|poultry|California|2023-10-24	2023.8123287671233	1991.3777338367931	-11.232918218041304
|A/western_gull/California/24-004708-001/2024|H5N1|NP||B3.7|wild-bird|California|2024-01-30	2024.0806010928961	1992.6189571495224	-10.895960753638965
EPI2260519|A/chicken/Maine/22-037360-002-original/2022|H5N1|NP|2.3.4.4b||poultry|Maine|2022-11-16	2022.8753424657534	2034.735259215659	4.107388275100384
EPI2759060|A/Caspian_tern/Washington/23-023703-002-original/2023|H5N1|NP|2.3.4.4b||wild-bird|Washington|2023-07-31	2023.5794520547945	2036.194016425346	4.368741778184475
