#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	2010-11-22	2010.890634	2005.682479	2015.984367
79.9/23	2020-06-26	2020.484062	2020.056063	2021.588190
EPI2709659|A/American_Crow/Minnesota/USDA-012668-016/2022|H5N1|NS|2.3.4.4b|B3.1|wild-bird|Minnesota|2022-04-25	2022-04-25	2022.313699	2022.313699	2022.313699
EPI2246674|A/chicken/Wisconsin/22-013446-001-original/2022|H5N1|NS|2.3.4.4b||poultry|Wisconsin|2022-04-29	2022-04-29	2022.324658	2022.324658	2022.324658
EPI2259073|A/goose/Idaho/22-014944-001-original/2022|H5N1|NS|2.3.4.4b||poultry|Idaho|2022-05-11	2022-05-11	2022.357534	2022.357534	2022.357534
86.1/64	2021-01-03	2021.006106	2020.744951	2021.825333
EPI2067101|A/turkey/North_Carolina/22-009983-008-original/2022|H5N1|NS|2.3.4.4b||poultry|North_Carolina|2022-03-31	2022-03-31	2022.245205	2022.245205	2022.245205
EPI2473444|A/fox/Wisconsin/22-014746-015-original/2022|H5N1|NS|2.3.4.4b||mammal|Wisconsin|2022-05-03	2022-05-03	2022.335616	2022.335616	2022.335616
EPI2713089|A/Gadwall/Virginia/USDA-003923-001/2022|H5N1|NS|2.3.4.4b||wild-bird|Virginia|2022-01-29	2022-01-29	2022.078082	2022.078082	2022.078082
EPI2074526|A/turkey/Minnesota/22-010123-004-original/2022|H5N1|NS|2.3.4.4b|A1|poultry|Minnesota|2022-04-04	2022-04-04	2022.256164	2022.256164	2022.256164
EPI2702972|A/Snow_Goose/Missouri/USDA-006805-001/2022|H5N1|NS|2.3.4.4b|A1|wild-bird|Missouri|2022-02-23	2022-02-23	2022.146575	2022.146575	2022.146575
86.6/67	2021-09-27	2021.739144	2021.323704	2022.134736
EPI2067309|A/turkey/Minnesota/22-009997-001-original/2022|H5N1|NS|2.3.4.4b|A1|poultry|Minnesota|2022-04-02	2022-04-02	2022.250685	2022.250685	2022.250685
EPI2016913|A/turkey/South_Dakota/22-008239-001-original/2022|H5N1|NS|2.3.4.4b||poultry|South_Dakota|2022-03-17	2022-03-17	2022.206849	2022.206849	2022.206849
NODE_0000064	2022-03-01	2022.163014	2021.766003	2022.163014
EPI2705224|A/Ross_s_Goose/North_Dakota/USDA-010036-002/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Dakota|2022-03-25	2022-03-25	2022.228767	2022.228767	2022.228767
EPI2704175|A/Ross_s_Goose/Missouri/USDA-012338-012/2022|H5N1|NS|2.3.4.4b|B5.1|wild-bird|Missouri|2022-03-01	2022-03-01	2022.163014	2022.163014	2022.163014
NODE_0000000	2021-09-24	2021.730782	2021.383792	2022.142496
EPI2258993|A/chicken/Washington/22-014744-001-original/2022|H5N1|NS|2.3.4.4b|B4.1|poultry|Washington|2022-05-10	2022-05-10	2022.354795	2022.354795	2022.354795
EPI2188327|A/bald_eagle/North_Carolina/W22-140/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Carolina|2022-02-22	2022-02-22	2022.143836	2022.143836	2022.143836
83.4/64	2022-04-24	2022.310959	2021.885001	2022.310959
EPI2709203|A/American_Pelican/Montana/USDA-012936-005/2022|H5N1|NS|2.3.4.4b||wild-bird|Montana|2022-04-24	2022-04-24	2022.310959	2022.310959	2022.310959
EPI2614064|A/snowy_egret/California/23-009161-004-original/2023|H5N1|NS|2.3.4.4b|B4.1|wild-bird|California|2023-03-16	2023-03-16	2023.204110	2023.204110	2023.204110
78.2/74	2022-03-20	2022.214937	2021.841941	2022.482554
EPI2298223|A/Canada_goose/California/246038/2022|H5N1|NS|2.3.4.4b|B4.1|wild-bird|California|2022-07-05	2022-07-05	2022.508219	2022.508219	2022.508219
EPI2263388|A/chicken/Oregon/22-030743-001-original/2022|H5N1|NS|2.3.4.4b|B4.1|poultry|Oregon|2022-09-28	2022-09-28	2022.741096	2022.741096	2022.741096
NODE_0000068	2022-05-10	2022.354795	2021.802000	2022.354795
EPI2263420|A/chicken/Oregon/22-034833-001-original/2022|H5N1|NS|2.3.4.4b|B4.1|poultry|Oregon|2022-10-28	2022-10-28	2022.823288	2022.823288	2022.823288
EPI2259033|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|NS|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10	2022-05-10	2022.354795	2022.354795	2022.354795
83.3/70	2021-07-12	2021.526877	2021.073631	2022.169528
