#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI2181657|A/snow_goose/North_Dakota/N22-04/2022|H5N1|PB1|2.3.4.4b||wild-bird|North_Dakota|2022-04-08, 2022.2671232876712, 0.060086, -0.014810
EPI2181649|A/snow_goose/North_Dakota/N22-06/2022|H5N1|PB1|2.3.4.4b||wild-bird|North_Dakota|2022-04-08, 2022.2671232876712, 0.071693, -0.003203
EPI2311573|A/northern_gannet/MA/22WI00050/2022|H5N1|PB1|2.3.4.4b||wild-bird|MA|2022-05-10, 2022.354794520548, 0.076037, 0.000852
EPI2310288|A/common_tern/Maine/22-025070-002-original/2022|H5N1|PB1|2.3.4.4b||wild-bird|Maine|2022-07-20, 2022.5493150684931, 0.078646, 0.002817
EPI2311461|A/common_tern/ME/COTE_20220614_1/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|ME|2022-06-14, 2022.4506849315069, 0.076481, 0.000978
EPI2709623|A/American_Black_Duck/Connecticut/USDA-005313-006/2022|H5N1|PB1|2.3.4.4b||wild-bird|Connecticut|2022-02-16, 2022.127397260274, 0.076480, 0.002047
EPI2310152|A/american_crow/Massachusetts/22-016611-007-original/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-21, 2022.217808219178, 0.076909, 0.002177
EPI2310050|A/american_crow/Massachusetts/22-006976-004-original/2022|H5N1|PB1|2.3.4.4b||wild-bird|Massachusetts|2022-02-27, 2022.1575342465753, 0.077773, 0.003240
EPI2311397|A/sanderling/MA/22HP00192/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|MA|2022-03-03, 2022.168493150685, 0.076044, 0.001475
EPI2311533|A/american_crow/MA/22HP00160/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|MA|2022-03-22, 2022.2205479452055, 0.076472, 0.001731
EPI2703940|A/Sanderling/Massachusetts/USDA-007696-003/2022|H5N1|PB1|2.3.4.4b||wild-bird|Massachusetts|2022-03-02, 2022.1657534246576, 0.076044, 0.001484
EPI2704528|A/Sanderling/Massachusetts/USDA-007696-008/2022|H5N1|PB1|2.3.4.4b|A2|wild-bird|Massachusetts|2022-03-06, 2022.176712328767, 0.076044, 0.001448
EPI2310248|A/herring_gull/Maine/22-022526-016-original/2022|H5N1|PB1|2.3.4.4b||wild-bird|Maine|2022-07-08, 2022.5164383561644, 0.077763, 0.002043
EPI2311437|A/common_eider/MA/22MM00772/2022|H5N1|PB1|2.3.4.4b||wild-bird|MA|2022-06-19, 2022.464383561644, 0.076903, 0.001355
EPI2702557|A/Snow_Goose/North_Dakota/USDA-009410-001/2022|H5N1|PB1|2.3.4.4b||wild-bird|North_Dakota|2022-03-21, 2022.217808219178, 0.074307, -0.000425
EPI2704871|A/Ross_s_Goose/North_Dakota/USDA-010663-025/2022|H5N1|PB1|2.3.4.4b||wild-bird|North_Dakota|2022-04-01, 2022.2479452054795, 0.074740, -0.000092
EPI2702336|A/Snow_Goose/Kentucky/USDA-004809-002/2022|H5N1|PB1|2.3.4.4b|A1|wild-bird|Kentucky|2022-02-08, 2022.1054794520549, 0.075621, 0.001261
