	given_date	apparent_date	residual
EPI2263566|A/chicken/Iowa/22-035700-001-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Iowa|2022-11-03	2022.8397260273973	2024.8054285329567	6.150585248445759
EPI2263574|A/domestic_duck/Iowa/22-035700-002-original/2022|H5N1|PA|2.3.4.4b||poultry|Iowa|2022-11-03	2022.8397260273973	2024.8053613958573	6.150375179805177
EPI2606593|A/chicken/Ohio/OH22-26275-3/2022|H5N1|PA|2.3.4.4b||poultry|Ohio|2022-11-03	2022.8397260273973	2024.7739899559344	6.0522155065757275
EPI2263774|A/African_goose/New_Jersey/22-033679-001-original/2022|H5N1|PA|2.3.4.4b||wild-bird|New_Jersey|2022-10-21	2022.804109589041	2025.0048154854221	6.885899155221824
EPI2263430|A/turkey/Minnesota/22-034849-001-original/2022|H5N1|PA|2.3.4.4b||poultry|Minnesota|2022-10-30	2022.8287671232877	2024.8902181470319	6.450177593596639
EPI2613538|A/brown_pelican/Florida/23-004148-001-original/2023|H5N1|PA|2.3.4.4b||wild-bird|Florida|2023-02-01	2023.0863013698631	2025.3501483568612	7.083464483354056
EPI2613698|A/peregrine_falcon/New_York/23-005700-001-original/2023|H5N1|PA|2.3.4.4b||wild-bird|New_York|2023-02-13	2023.1191780821919	2024.7769798159306	5.18717906679368
EPI2260746|A/chicken/Florida/22-036965-001-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Florida|2022-11-16	2022.8753424657534	2025.3479397441095	7.73663374930577
EPI2264247|A/chicken/Florida/22-031859-001-original/2022|H5N1|PA|2.3.4.4b||poultry|Florida|2022-10-06	2022.7630136986302	2025.348331283571	8.089329975169381
EPI2263855|A/chicken/Florida/22-035222-003-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Florida|2022-11-01	2022.8342465753424	2025.120421736405	7.153328228065726
EPI2182059|A/fox/Michigan/22-014536-004-original/2022|H5N1|PA|2.3.4.4b|B1.2|mammal|Michigan|2022-04-22	2022.305479452055	2020.3975317164936	-5.969873449293681
EPI2455039|A/Vulpes_vulpes/USA/115912/2022|H5N1|PA|2.3.4.4b||mammal|USA|2022-05-20	2022.3821917808218	2020.639376400237	-5.453182534118716
EPI2709649|A/Backyard_bird/Michigan/USDA-008890-006/2022|H5N1|PA|2.3.4.4b||wild-bird|Michigan|2022-03-22	2022.2205479452055	2020.6232680633466	-4.997809206233058
EPI2703285|A/Snowy_Owl/Michigan/USDA-008506-002/2022|H5N1|PA|2.3.4.4b|B1.2|wild-bird|Michigan|2022-03-17	2022.2068493150684	2020.623968057361	-4.952756628311395
EPI2707661|A/Bald_Eagle/Ohio/USDA-007697-001/2022|H5N1|PA|2.3.4.4b||wild-bird|Ohio|2022-03-07	2022.1794520547944	2020.510475538216	-5.222144405798462
EPI2707926|A/Bald_Eagle/Michigan/USDA-012056-001/2022|H5N1|PA|2.3.4.4b||wild-bird|Michigan|2022-04-14	2022.2835616438356	2020.5107197619323	-5.547133961433651
EPI2703317|A/Snowy_Owl/Michigan/USDA-008506-001/2022|H5N1|PA|2.3.4.4b||wild-bird|Michigan|2022-03-17	2022.2068493150684	2020.5107197619323	-5.307104904974443
EPI2705335|A/Wood_Duck/Michigan/USDA-009361-015/2022|H5N1|PA|2.3.4.4b||wild-bird|Michigan|2022-03-23	2022.2232876712328	2020.5107197619323	-5.358539702786645
EPI2708282|A/Bald_Eagle/Indiana/USDA-010922-001/2022|H5N1|PA|2.3.4.4b|B1.2|wild-bird|Indiana|2022-04-08	2022.2671232876712	2020.8530423806944	-4.424588737085774
EPI2613602|A/great_horned_owl/New_York/23-005127-001-original/2023|H5N1|PA|2.3.4.4b||wild-bird|New_York|2023-02-10	2023.1109589041096	2021.6635487986068	-4.528874139489438
EPI2181656|A/snow_goose/North_Dakota/N22-04/2022|H5N1|PA|2.3.4.4b||wild-bird|North_Dakota|2022-04-08	2022.2671232876712	2020.120308576857	-6.717276319349729
