#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI2263566|A/chicken/Iowa/22-035700-001-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Iowa|2022-11-03, 2022.8397260273973, 0.088607, 0.010229
EPI2263574|A/domestic_duck/Iowa/22-035700-002-original/2022|H5N1|PA|2.3.4.4b||poultry|Iowa|2022-11-03, 2022.8397260273973, 0.088607, 0.010229
EPI2606593|A/chicken/Ohio/OH22-26275-3/2022|H5N1|PA|2.3.4.4b||poultry|Ohio|2022-11-03, 2022.8397260273973, 0.088550, 0.010172
EPI2263774|A/African_goose/New_Jersey/22-033679-001-original/2022|H5N1|PA|2.3.4.4b||wild-bird|New_Jersey|2022-10-21, 2022.804109589041, 0.089565, 0.011309
EPI2263430|A/turkey/Minnesota/22-034849-001-original/2022|H5N1|PA|2.3.4.4b||poultry|Minnesota|2022-10-30, 2022.8287671232877, 0.089016, 0.010676
EPI2613538|A/brown_pelican/Florida/23-004148-001-original/2023|H5N1|PA|2.3.4.4b||wild-bird|Florida|2023-02-01, 2023.0863013698631, 0.091130, 0.011911
EPI2613698|A/peregrine_falcon/New_York/23-005700-001-original/2023|H5N1|PA|2.3.4.4b||wild-bird|New_York|2023-02-13, 2023.1191780821919, 0.088551, 0.009220
EPI2260746|A/chicken/Florida/22-036965-001-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Florida|2022-11-16, 2022.8753424657534, 0.091048, 0.012548
EPI2264247|A/chicken/Florida/22-031859-001-original/2022|H5N1|PA|2.3.4.4b||poultry|Florida|2022-10-06, 2022.7630136986302, 0.091097, 0.012981
EPI2263855|A/chicken/Florida/22-035222-003-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Florida|2022-11-01, 2022.8342465753424, 0.090127, 0.011768
EPI2182059|A/fox/Michigan/22-014536-004-original/2022|H5N1|PA|2.3.4.4b|B1.2|mammal|Michigan|2022-04-22, 2022.305479452055, 0.073616, -0.002940
EPI2455039|A/Vulpes_vulpes/USA/115912/2022|H5N1|PA|2.3.4.4b||mammal|USA|2022-05-20, 2022.3821917808218, 0.074524, -0.002294
EPI2709912|A/Backyard_bird/New_York/USDA-010321-003/2022|H5N1|PA|2.3.4.4b|B1.2|wild-bird|New_York|2022-04-04, 2022.2561643835616, 0.076520, 0.000132
EPI2709649|A/Backyard_bird/Michigan/USDA-008890-006/2022|H5N1|PA|2.3.4.4b||wild-bird|Michigan|2022-03-22, 2022.2205479452055, 0.074525, -0.001741
EPI2703285|A/Snowy_Owl/Michigan/USDA-008506-002/2022|H5N1|PA|2.3.4.4b|B1.2|wild-bird|Michigan|2022-03-17, 2022.2068493150684, 0.074525, -0.001695
EPI2707661|A/Bald_Eagle/Ohio/USDA-007697-001/2022|H5N1|PA|2.3.4.4b||wild-bird|Ohio|2022-03-07, 2022.1794520547944, 0.074070, -0.002056
EPI2707926|A/Bald_Eagle/Michigan/USDA-012056-001/2022|H5N1|PA|2.3.4.4b||wild-bird|Michigan|2022-04-14, 2022.2835616438356, 0.074070, -0.002411
EPI2703317|A/Snowy_Owl/Michigan/USDA-008506-001/2022|H5N1|PA|2.3.4.4b||wild-bird|Michigan|2022-03-17, 2022.2068493150684, 0.074070, -0.002149
EPI2705335|A/Wood_Duck/Michigan/USDA-009361-015/2022|H5N1|PA|2.3.4.4b||wild-bird|Michigan|2022-03-23, 2022.2232876712328, 0.074070, -0.002206
EPI2708282|A/Bald_Eagle/Indiana/USDA-010922-001/2022|H5N1|PA|2.3.4.4b|B1.2|wild-bird|Indiana|2022-04-08, 2022.2671232876712, 0.075473, -0.000952
EPI2613602|A/great_horned_owl/New_York/23-005127-001-original/2023|H5N1|PA|2.3.4.4b||wild-bird|New_York|2023-02-10, 2023.1109589041096, 0.079665, 0.000361
EPI2711104|A/Lesser_Scaup/Florida/USDA-010679-001/2022|H5N1|PA|2.3.4.4b|B1.2|wild-bird|Florida|2022-04-04, 2022.2561643835616, 0.076411, 0.000024
EPI2711125|A/Hooded_Merganser/Florida/USDA-007915-003/2022|H5N1|PA|2.3.4.4b||wild-bird|Florida|2022-03-01, 2022.16301369863, 0.075956, -0.000113
EPI2188336|A/hooded_merganser/Florida/W22-154/2022|H5N1|PA|2.3.4.4b||wild-bird|Florida|2022-03-01, 2022.16301369863, 0.075956, -0.000113
EPI2181656|A/snow_goose/North_Dakota/N22-04/2022|H5N1|PA|2.3.4.4b||wild-bird|North_Dakota|2022-04-08, 2022.2671232876712, 0.066244, -0.010181
