#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	1996-07-28	1996.573185	1989.883987	2002.496288
100/100	2017-11-18	2017.881634	2016.288687	2019.392981
99.9/100	--	--	--	--
86.7/99	--	--	--	--
EPI2263566|A/chicken/Iowa/22-035700-001-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Iowa|2022-11-03	--	--	--	--
EPI2263574|A/domestic_duck/Iowa/22-035700-002-original/2022|H5N1|PA|2.3.4.4b||poultry|Iowa|2022-11-03	--	--	--	--
74.6/82	--	--	--	--
EPI2606593|A/chicken/Ohio/OH22-26275-3/2022|H5N1|PA|2.3.4.4b||poultry|Ohio|2022-11-03	--	--	--	--
EPI2263774|A/African_goose/New_Jersey/22-033679-001-original/2022|H5N1|PA|2.3.4.4b||wild-bird|New_Jersey|2022-10-21	--	--	--	--
EPI2263430|A/turkey/Minnesota/22-034849-001-original/2022|H5N1|PA|2.3.4.4b||poultry|Minnesota|2022-10-30	--	--	--	--
EPI2613538|A/brown_pelican/Florida/23-004148-001-original/2023|H5N1|PA|2.3.4.4b||wild-bird|Florida|2023-02-01	--	--	--	--
EPI2613698|A/peregrine_falcon/New_York/23-005700-001-original/2023|H5N1|PA|2.3.4.4b||wild-bird|New_York|2023-02-13	--	--	--	--
98.8/98	--	--	--	--
EPI2260746|A/chicken/Florida/22-036965-001-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Florida|2022-11-16	--	--	--	--
EPI2264247|A/chicken/Florida/22-031859-001-original/2022|H5N1|PA|2.3.4.4b||poultry|Florida|2022-10-06	--	--	--	--
EPI2263855|A/chicken/Florida/22-035222-003-original/2022|H5N1|PA|2.3.4.4b|B1.3|poultry|Florida|2022-11-01	--	--	--	--
96.3/100	2021-08-17	2021.626763	2021.349356	2021.940228
EPI2182059|A/fox/Michigan/22-014536-004-original/2022|H5N1|PA|2.3.4.4b|B1.2|mammal|Michigan|2022-04-22	2022-04-22	2022.305479	2022.305479	2022.305479
44.6/44	2021-10-04	2021.757110	2021.560628	2021.984484
