#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI2188325|A/bald_eagle/North_Carolina/W22-140/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Carolina|2022-02-22, 2022.1438356164383, 0.002541, 0.001561
EPI2311554|A/snowy_owl/MA/22MM00463/2022|H5N1|MP|2.3.4.4b||wild-bird|MA|2022-03-20, 2022.2150684931507, 0.001568, 0.000342
EPI2708456|A/Black_Vulture/Florida/USDA-011545-001/2022|H5N1|MP|2.3.4.4b||wild-bird|Florida|2022-04-08, 2022.2671232876712, 0.001570, 0.000164
EPI2705957|A/chicken/Nebraska/USDA-010905-001/2022|H5N1|MP|2.3.4.4b|B2.1|poultry|Nebraska|2022-04-11, 2022.2753424657535, 0.002544, 0.001110
EPI2710878|A/Mallard/New_Hampshire/USDA-003417-032/2022|H5N1|MP|2.3.4.4b||wild-bird|New_Hampshire|2022-01-26, 2022.0698630136985, 0.001570, 0.000846
EPI2473446|A/fox/Wisconsin/22-014746-015-original/2022|H5N1|MP|2.3.4.4b||mammal|Wisconsin|2022-05-03, 2022.335616438356, 0.003519, 0.001877
EPI2067310|A/turkey/Minnesota/22-009997-001-original/2022|H5N1|MP|2.3.4.4b|A1|poultry|Minnesota|2022-04-02, 2022.2506849315068, 0.001570, 0.000221
EPI2712507|A/Gadwall/North_Carolina/USDA-001672-002/2022|H5N1|MP|2.3.4.4b||wild-bird|North_Carolina|2022-01-08, 2022.0205479452054, 0.001570, 0.001017
EPI2074535|A/turkey/Minnesota/22-010124-001-original/2022|H5N1|MP|2.3.4.4b||poultry|Minnesota|2022-04-04, 2022.2561643835616, 0.001572, 0.000204
EPI2259034|A/chicken/Wyoming/22-014917-001-original/2022|H5N1|MP|2.3.4.4b|B2.1|poultry|Wyoming|2022-05-10, 2022.354794520548, 0.001570, -0.000138
EPI2614065|A/snowy_egret/California/23-009161-004-original/2023|H5N1|MP|2.3.4.4b|B4.1|wild-bird|California|2023-03-16, 2023.204109589041, 0.003520, -0.001122
EPI2711871|A/goose/Wyoming/USDA-011671-001/2022|H5N1|MP|2.3.4.4b|B2.1|poultry|Wyoming|2022-04-13, 2022.2808219178082, 0.001570, 0.000117
EPI2704867|A/chicken/Delaware/USDA-006945-004/2022|H5N1|MP|2.3.4.4b|A1|poultry|Delaware|2022-03-07, 2022.1794520547944, 0.001570, 0.000468
EPI2710084|A/Backyard_bird/Massachusetts/USDA-009371-001/2022|H5N1|MP|2.3.4.4b|A1|wild-bird|Massachusetts|2022-03-25, 2022.2287671232878, 0.001570, 0.000297
EPI2074527|A/turkey/Minnesota/22-010123-004-original/2022|H5N1|MP|2.3.4.4b|A1|poultry|Minnesota|2022-04-04, 2022.2561643835616, 0.002544, 0.001176
EPI2711143|A/Hooded_Merganser/Florida/USDA-007915-003/2022|H5N1|MP|2.3.4.4b||wild-bird|Florida|2022-03-01, 2022.16301369863, 0.000597, -0.000449
EPI2712859|A/Great_Horned_Owl/Minnesota/USDA-011871-006/2022|H5N1|MP|2.3.4.4b||wild-bird|Minnesota|2022-04-15, 2022.286301369863, 0.001570, 0.000098
