#Lower and upper bound delineate the 90% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE_0000001	1942-11-25	1942.900998	1478.427383	1974.212649
EPI2613883|A/crow/Minnesota/23-007350-001-original/2023|H5N1|PB2|2.3.4.4b||wild-bird|Minnesota|2023-03-03	2023-03-03	2023.168493	2023.168493	2023.168493
100/40	1963-10-30	1963.828371	1618.793148	1986.792255
29.2/23	1993-09-14	1993.703716	1806.714486	2003.781334
84.1/83	1998-12-04	1998.924860	1845.746427	2007.775415
99.8/100	2022-10-21	2022.803289	2015.889152	2023.678645
EPI2906259|A/Canada_goose/Maryland/23-034924-001-original/2023|H5N1|PB2|2.3.4.4b||wild-bird|Maryland|2023-11-09	2023-11-09	2023.856164	2023.856164	2023.856164
EPI3052577|A/turkey/Wisconsin/24-000378-001-original/2024|H5N1|PB2|2.3.4.4b||poultry|Wisconsin|2024-01-03	2024-01-03	2024.006831	2024.006831	2024.006831
100/100	2019-10-07	2019.766349	1999.443078	2021.912017
76.3/87	2020-08-13	2020.615336	2003.412698	2022.269897
|A/red-tailed_hawk/South_Carolina/24-005993-001/2024|H5N1|PB2||B3.6|wild-bird|South_Carolina|2024-01-09	2024-01-09	2024.023224	2024.023224	2024.023224
|A/cat/Montana/24-009038-001/2024|H5N1|PB2||B3.6|domestic-mammal|Montana|2024-03-19	2024-03-19	2024.214481	2024.214481	2024.214481
EPI2873380|A/king_vulture/Arizona/23-033233-001-original/2023|H5N1|PB2|2.3.4.4b|B3.6|wild-bird|Arizona|2023-10-24	2023-10-24	2023.812329	2023.812329	2023.812329
EPI2873596|A/chicken/Minnesota/23-033671-001-original/2023|H5N1|PB2|2.3.4.4b||poultry|Minnesota|2023-10-31	2023-10-31	2023.831507	2023.831507	2023.831507
98.5/99	2023-10-30	2023.829028	2022.067720	2024.123039
|A/chicken/Maryland/24-005539-001/2024|H5N1|PB2||B3.6|poultry|Maryland|2024-02-16	2024-02-16	2024.127049	2024.127049	2024.127049
|A/chicken/Maryland/24-005539-002/2024|H5N1|PB2||B3.6|poultry|Maryland|2024-02-16	2024-02-16	2024.127049	2024.127049	2024.127049
26.2/49	2021-07-17	2021.542402	2007.822019	2022.951201
EPI2868766|A/peacock/Oklahoma/23-031171-001-original/2023|H5N1|PB2|2.3.4.4b||poultry|Oklahoma|2023-10-11	2023-10-11	2023.776712	2023.776712	2023.776712
|A/mountain_lion/Montana/24-010315-001/2024|H5N1|PB2||B3.6|mammal|Montana|2024-04-01	2024-04-01	2024.250000	2024.250000	2024.250000
85.6/94	2021-09-09	2021.688349	2009.309853	2023.048349
|A/canada_goose/Indiana/24-008719-001/2024|H5N1|PB2||C2.1|wild-bird|Indiana|2024-03-12	2024-03-12	2024.195355	2024.195355	2024.195355
97.7/100	2024-02-18	2024.132514	2023.678298	2024.132514
|A/chicken/Ohio/24-005334-001/2024|H5N1|PB2||B3.6|poultry|Ohio|2024-02-18	2024-02-18	2024.132514	2024.132514	2024.132514
|A/chicken/Ohio/24-005334-002/2024|H5N1|PB2||B3.6|poultry|Ohio|2024-02-18	2024-02-18	2024.132514	2024.132514	2024.132514
75.2/87	2021-03-03	2021.167744	2005.769658	2022.600772
|A/mute_swan/California/24-005918-001/2024|H5N1|PB2||B3.6|wild-bird|California|2024-02-06	2024-02-06	2024.099727	2024.099727	2024.099727
93.1/99	2022-10-24	2022.812349	2015.406029	2023.641645
EPI3052601|A/domestic_goose/California/24-000492-001-original/2024|H5N1|PB2|2.3.4.4b|B3.6|poultry|California|2024-01-03	2024-01-03	2024.006831	2024.006831	2024.006831
|A/turkey_vulture/California/24-007419-001/2024|H5N1|PB2||B3.6|wild-bird|California|2024-02-20	2024-02-20	2024.137978	2024.137978	2024.137978
NODE_0000013	2021-05-13	2021.363716	2009.199863	2023.117174
|A/american_crow/Iowa/24-006634-001/2024|H5N1|PB2||B3.6|wild-bird|Iowa|2024-03-01	2024-03-01	2024.165301	2024.165301	2024.165301
NODE_0000014	2022-04-14	2022.284275	2016.351615	2023.445259
EPI2899747|A/turkey/South_Dakota/23-036673-001-original/2023|H5N1|PB2|2.3.4.4b|B3.6|poultry|South_Dakota|2023-11-19	2023-11-19	2023.883562	2023.883562	2023.883562
NODE_0000015	2022-10-23	2022.808976	2018.977979	2023.648728
EPI2873436|A/chicken/Oklahoma/23-033090-001-original/2023|H5N1|PB2|2.3.4.4b||poultry|Oklahoma|2023-10-27	2023-10-27	2023.820548	2023.820548	2023.820548
NODE_0000016	2023-03-01	2023.163333	2019.006860	2023.675740
EPI2873542|A/turkey/South_Dakota/23-033623-001-original/2023|H5N1|PB2|2.3.4.4b||poultry|South_Dakota|2023-11-02	2023-11-02	2023.836986	2023.836986	2023.836986
NODE_0000017	2023-06-23	2023.476173	2019.023767	2023.797110
EPI2906067|A/domestic_goose/South_Dakota/23-035811-003-original/2023|H5N1|PB2|2.3.4.4b||poultry|South_Dakota|2023-11-15	2023-11-15	2023.872603	2023.872603	2023.872603
|A/snow_goose/Colorado/24-007706-001/2024|H5N1|PB2||B3.6|wild-bird|Colorado|2024-02-27	2024-02-27	2024.157104	2024.157104	2024.157104
74.1/58	2020-04-21	2020.305392	2002.105612	2022.159258
99.3/100	2024-02-21	2024.140710	2023.727948	2024.140710
|A/chicken/Indiana/24-005716-003/2024|H5N1|PB2||B3.6|poultry|Indiana|2024-02-21	2024-02-21	2024.140710	2024.140710	2024.140710
|A/chicken/Indiana/24-005716-002/2024|H5N1|PB2||B3.6|poultry|Indiana|2024-02-21	2024-02-21	2024.140710	2024.140710	2024.140710
|A/chicken/Indiana/24-005716-006/2024|H5N1|PB2||B3.6|poultry|Indiana|2024-02-21	2024-02-21	2024.140710	2024.140710	2024.140710
92.3/91	2021-07-15	2021.535344	2009.138655	2022.902633
|A/bald_eagle/Washington/24-007953-001/2024|H5N1|PB2||B3.6|wild-bird|Washington|2024-03-11	2024-03-11	2024.192623	2024.192623	2024.192623
EPI2906051|A/chicken/South_Dakota/23-035815-001-original/2023|H5N1|PB2|2.3.4.4b||poultry|South_Dakota|2023-11-14	2023-11-14	2023.869863	2023.869863	2023.869863
93.4/100	2023-11-14	2023.869863	2023.256558	2023.869863
EPI2906131|A/chicken/Iowa/23-035546-001-original/2023|H5N1|PB2|2.3.4.4b|B3.6|poultry|Iowa|2023-11-14	2023-11-14	2023.869863	2023.869863	2023.869863
EPI2906139|A/chicken/Iowa/23-035546-002-original/2023|H5N1|PB2|2.3.4.4b||poultry|Iowa|2023-11-14	2023-11-14	2023.869863	2023.869863	2023.869863
NODE_0000022	2021-08-11	2021.610621	2013.780390	2023.340809
EPI2869793|A/peregrine_falcon/Minnesota/23-031335-001-original/2023|H5N1|PB2|2.3.4.4b||wild-bird|Minnesota|2023-10-12	2023-10-12	2023.779452	2023.779452	2023.779452
NODE_0000023	2022-05-10	2022.354350	2013.799629	2023.375041
EPI2906235|A/chicken/North_Dakota/23-035040-001-original/2023|H5N1|PB2|2.3.4.4b|B3.11|poultry|North_Dakota|2023-11-13	2023-11-13	2023.867123	2023.867123	2023.867123
NODE_0000024	2022-11-05	2022.845954	2013.816287	2023.531334
|A/skunk/Montana/24-007939-001/2024|H5N1|PB2||B3.6|mammal|Montana|2024-03-11	2024-03-11	2024.192623	2024.192623	2024.192623
EPI2906387|A/chicken/Iowa/23-034842-001-original/2023|H5N1|PB2|2.3.4.4b||poultry|Iowa|2023-11-09	2023-11-09	2023.856164	2023.856164	2023.856164
84.3/85	2021-05-27	2021.401402	2008.899024	2022.939526
97.6/100	2023-12-04	2023.924740	2022.453234	2024.182991
|A/turkey/South_Dakota/24-007379-001/2024|H5N1|PB2||B3.6|poultry|South_Dakota|2024-03-08	2024-03-08	2024.184426	2024.184426	2024.184426
|A/turkey/South_Dakota/24-007379-002/2024|H5N1|PB2||B3.6|poultry|South_Dakota|2024-03-08	2024-03-08	2024.184426	2024.184426	2024.184426
95.7/100	2023-02-07	2023.103667	2021.059854	2024.003186
85.4/90	2024-03-08	2024.184426	2023.757844	2024.184426
|A/goat/Minnesota/24-007234-047/2024|H5N1|PB2||B3.6|domestic-mammal|Minnesota|2024-03-08	2024-03-08	2024.184426	2024.184426	2024.184426
|A/goat/Minnesota/24-007234-006/2024|H5N1|PB2||B3.6|domestic-mammal|Minnesota|2024-03-08	2024-03-08	2024.184426	2024.184426	2024.184426
|A/goat/Minnesota/24-007234-050/2024|H5N1|PB2||B3.6|domestic-mammal|Minnesota|2024-03-08	2024-03-08	2024.184426	2024.184426	2024.184426
84.2/69	2023-09-27	2023.737062	2022.846246	2024.148907
|A/goat/Minnesota/24-007234-009/2024|H5N1|PB2||B3.6|domestic-mammal|Minnesota|2024-03-08	2024-03-08	2024.184426	2024.184426	2024.184426
NODE_0000040	2024-02-24	2024.148907	2023.693106	2024.148907
|A/goat/Minnesota/24-007234-059/2024|H5N1|PB2||B3.6|domestic-mammal|Minnesota|2024-03-08	2024-03-08	2024.184426	2024.184426	2024.184426
