#Dates of nodes that didn't have a specified date are inferred from the root-to-tip regression.
name, date, root-to-tip distance, clock-deviation
EPI2176412|A/snow_goose/Kansas/W22-199D/2022|H5N1|NS|2.3.4.4b||wild-bird|Kansas|2022-03-12, 2022.1931506849314, 0.031654, -0.001648
EPI2181647|A/snow_goose/North_Dakota/N22-06/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Dakota|2022-04-08, 2022.2671232876712, 0.032771, -0.000797
EPI2246154|A/chicken/North_Dakota/22-012538-002-original/2022|H5N1|NS|2.3.4.4b|B3.1|poultry|North_Dakota|2022-04-25, 2022.313698630137, 0.033900, 0.000164
EPI2705365|A/goose/Missouri/USDA-012338-006/2022|H5N1|NS|2.3.4.4b|A1|poultry|Missouri|2022-03-15, 2022.2013698630137, 0.032776, -0.000556
EPI2709654|A/Backyard_bird/Nebraska/USDA-009190-001/2022|H5N1|NS|2.3.4.4b||wild-bird|Nebraska|2022-03-24, 2022.2260273972602, 0.033900, 0.000480
EPI2263925|A/chicken/Iowa/22-033362-001-original/2022|H5N1|NS|2.3.4.4b|B3.1|poultry|Iowa|2022-10-19, 2022.7986301369863, 0.035024, -0.000454
EPI2711141|A/Mallard/Ohio/USDA-009207-003/2022|H5N1|NS|2.3.4.4b||wild-bird|Ohio|2022-03-08, 2022.182191780822, 0.031654, -0.001609
EPI2703176|A/Snow_Goose/South_Dakota/USDA-008383-004/2022|H5N1|NS|2.3.4.4b||wild-bird|South_Dakota|2022-03-16, 2022.204109589041, 0.032776, -0.000566
EPI2710192|A/Backyard_bird/Wisconsin/USDA-009934-002/2022|H5N1|NS|2.3.4.4b|A1|wild-bird|Wisconsin|2022-03-31, 2022.2452054794521, 0.032775, -0.000714
EPI2182105|A/red_fox/North_Dakota/22-017354-001-original/2022|H5N1|NS|2.3.4.4b||mammal|North_Dakota|2022-06-03, 2022.4205479452055, 0.032775, -0.001344
EPI2712888|A/goose/Nebraska/USDA-007179-001/2022|H5N1|NS|2.3.4.4b|A1|poultry|Nebraska|2022-03-07, 2022.1794520547944, 0.032776, -0.000477
EPI2709659|A/American_Crow/Minnesota/USDA-012668-016/2022|H5N1|NS|2.3.4.4b|B3.1|wild-bird|Minnesota|2022-04-25, 2022.313698630137, 0.040710, 0.006974
EPI2246674|A/chicken/Wisconsin/22-013446-001-original/2022|H5N1|NS|2.3.4.4b||poultry|Wisconsin|2022-04-29, 2022.3246575342466, 0.035024, 0.001249
EPI2259073|A/goose/Idaho/22-014944-001-original/2022|H5N1|NS|2.3.4.4b||poultry|Idaho|2022-05-11, 2022.3575342465754, 0.036151, 0.002258
EPI2704399|A/Ross_s_Goose/Iowa/USDA-008378-001/2022|H5N1|NS|2.3.4.4b||wild-bird|Iowa|2022-03-15, 2022.2013698630137, 0.031654, -0.001678
EPI2702823|A/Snow_Goose/North_Dakota/USDA-011578-008/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Dakota|2022-04-10, 2022.272602739726, 0.031654, -0.001934
EPI2702798|A/turkey/Indiana/USDA-005328-001/2022|H5N1|NS|2.3.4.4b||poultry|Indiana|2022-02-18, 2022.1328767123289, 0.031654, -0.001432
EPI2712575|A/Great_Horned_Owl/North_Dakota/USDA-011571-001/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Dakota|2022-04-11, 2022.2753424657535, 0.031654, -0.001944
EPI2710899|A/Mallard/Kentucky/USDA-005153-004/2022|H5N1|NS|2.3.4.4b||wild-bird|Kentucky|2022-02-07, 2022.1027397260275, 0.031654, -0.001323
EPI2702337|A/Snow_Goose/Kentucky/USDA-004809-002/2022|H5N1|NS|2.3.4.4b|A1|wild-bird|Kentucky|2022-02-08, 2022.1054794520549, 0.031654, -0.001333
EPI2704875|A/Ross_s_Goose/North_Dakota/USDA-010663-025/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Dakota|2022-04-01, 2022.2479452054795, 0.031654, -0.001845
EPI2709340|A/American_Crow/North_Dakota/USDA-010665-001/2022|H5N1|NS|2.3.4.4b|B3.1|wild-bird|North_Dakota|2022-04-01, 2022.2479452054795, 0.031654, -0.001845
EPI1985978|A/turkey/Indiana/22-003707-003/2022|H5N1|NS|2.3.4.4b|A1|poultry|Indiana|2022-02-07, 2022.1027397260275, 0.031654, -0.001323
EPI2074574|A/turkey/Minnesota/22-010126-002-original/2022|H5N1|NS|2.3.4.4b||poultry|Minnesota|2022-04-04, 2022.2561643835616, 0.031654, -0.001875
EPI2711066|A/Hooded_Merganser/Missouri/USDA-007184-001/2022|H5N1|NS|2.3.4.4b||wild-bird|Missouri|2022-02-28, 2022.1602739726027, 0.031654, -0.001530
EPI2298215|A/eared_grebe/North_Dakota/245625/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Dakota|2022-06-16, 2022.4561643835616, 0.031654, -0.002594
EPI2702787|A/Snow_Goose/North_Dakota/USDA-011033-003/2022|H5N1|NS|2.3.4.4b|B3.1|wild-bird|North_Dakota|2022-04-05, 2022.2589041095891, 0.032771, -0.000767
EPI2702703|A/Snow_Goose/North_Dakota/USDA-009481-006/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Dakota|2022-03-23, 2022.2232876712328, 0.032771, -0.000639
EPI2176466|A/snow_goose/Kansas/W22-199A/2022|H5N1|NS|2.3.4.4b||wild-bird|Kansas|2022-03-14, 2022.1986301369864, 0.032771, -0.000551
EPI2703487|A/Snow_Goose/Kansas/USDA-007919-003/2022|H5N1|NS|2.3.4.4b|A1|wild-bird|Kansas|2022-03-04, 2022.1712328767123, 0.032771, -0.000453
EPI2017193|A/chicken/Nebraska/22-009006-001-original/2022|H5N1|NS|2.3.4.4b|A1|poultry|Nebraska|2022-03-23, 2022.2232876712328, 0.032771, -0.000640
EPI2703865|A/Snow_Goose/Kansas/USDA-008980-003/2022|H5N1|NS|2.3.4.4b||wild-bird|Kansas|2022-03-12, 2022.1931506849314, 0.032771, -0.000531
EPI2181655|A/snow_goose/North_Dakota/N22-04/2022|H5N1|NS|2.3.4.4b||wild-bird|North_Dakota|2022-04-08, 2022.2671232876712, 0.032771, -0.000797
EPI2712098|A/Great_Horned_Owl/Minnesota/USDA-013128-001/2022|H5N1|NS|2.3.4.4b||wild-bird|Minnesota|2022-04-27, 2022.3191780821917, 0.036142, 0.002387
EPI2246714|A/turkey/South_Dakota/22-013454-001-original/2022|H5N1|NS|2.3.4.4b||poultry|South_Dakota|2022-04-30, 2022.327397260274, 0.033893, 0.000108
EPI2703691|A/Red-tailed_Hawk/Kansas/USDA-008980-002/2022|H5N1|NS|2.3.4.4b||wild-bird|Kansas|2022-03-14, 2022.1986301369864, 0.035017, 0.001695
EPI2704325|A/Ross_s_Goose/Minnesota/USDA-011226-001/2022|H5N1|NS|2.3.4.4b||wild-bird|Minnesota|2022-04-05, 2022.2589041095891, 0.033893, 0.000355
EPI2711798|A/goose/South_Dakota/USDA-008382-001/2022|H5N1|NS|2.3.4.4b|B2.1|poultry|South_Dakota|2022-03-16, 2022.204109589041, 0.033893, 0.000552
EPI2705659|A/Vulture/Montana/USDA-012936-010/2022|H5N1|NS|2.3.4.4b||wild-bird|Montana|2022-04-24, 2022.3109589041096, 0.033893, 0.000167
EPI2712816|A/goose/Missouri/USDA-012338-014/2022|H5N1|NS|2.3.4.4b|B2.1|poultry|Missouri|2022-03-01, 2022.16301369863, 0.033893, 0.000699
EPI2713041|A/Great_Horned_Owl/Minnesota/USDA-011871-012/2022|H5N1|NS|2.3.4.4b||wild-bird|Minnesota|2022-04-15, 2022.286301369863, 0.033893, 0.000257
EPI2258945|A/duck/Minnesota/22-014663-004-original/2022|H5N1|NS|2.3.4.4b|B2.1|poultry|Minnesota|2022-05-10, 2022.354794520548, 0.033895, 0.000012
EPI2074638|A/turkey/South_Dakota/22-010137-002-original/2022|H5N1|NS|2.3.4.4b|B2.1|poultry|South_Dakota|2022-04-04, 2022.2561643835616, 0.033893, 0.000364
EPI2702523|A/Snow_Goose/North_Dakota/USDA-011033-005/2022|H5N1|NS|2.3.4.4b|B2.1|wild-bird|North_Dakota|2022-04-05, 2022.2589041095891, 0.033893, 0.000355
EPI2712122|A/Great_Horned_Owl/Minnesota/USDA-012931-007/2022|H5N1|NS|2.3.4.4b|B2.1|wild-bird|Minnesota|2022-04-22, 2022.305479452055, 0.033893, 0.000188
